"Texture","CT0","CT4","Other","Total"
"Building E Age3","52","52","0","104"
"Building X Roof Age1","20","35","0","55"
"building E Age4","30","30","0","60"
"Building X Wall Age2","29","30","0","59"
"Building E Age2","27","26","0","53"
"Building X Wall Age3","0","26","0","26"
"Building G WallsAge2","26","25","0","51"
"Building N Shared06 2 map","21","25","0","46"
"Building G Fortifiedwall","4","21","0","25"
"Building X Wall Oreichalkos","21","21","0","42"
"building x wall stone","25","21","0","46"
"Building X Wall Bronze","25","20","0","45"
"Building X Wall Iron","20","20","0","40"
"Building E Age1","20","19","0","39"
"building E Age2 wall","17","17","0","34"
"Building E Wall4","17","17","0","34"
"Building G Shared05 2 map","17","17","0","34"
"Building G WallsAge1","20","17","0","37"
"Building G WallsAge3","18","15","0","33"
"Building N Shared01 3 map","22","14","0","36"
"Building N WallAge4","18","14","0","32"
"Building X Roof Age0","14","14","0","28"
"Building G Age0","16","13","0","29"
"Building N Shared01 2 map","16","12","0","28"
"building E Monument platforms","11","10","0","21"
"Building G Towers","10","10","0","20"
"Building N Shared01 1 map","10","10","0","20"
"Building E Obelisk","6","6","0","12"
"Building E Titan Gate Map","6","6","0","12"
"Building G SettlementAge2","8","6","0","14"
"Building G SettlementAge3","6","6","0","12"
"Building G Titan Gate Door Map","4","6","0","10"
"Building N Shared04 2 map","14","6","0","20"
"Building N Titan Gate Map","6","6","0","12"
"Building N Tower","6","6","0","12"
"Building x TitanGate","6","6","0","12"
"construction_boards_e","0","6","0","6"
"Construction_flag","0","6","0","6"
"Naval G All","6","6","0","12"
"Siege X Chieroballista","6","6","0","12"
"building E Ra Wonder02","5","5","0","10"
"Building X Mirror Tower","5","5","0","10"
"building x tower watch2","5","5","0","10"
"Building Attachments","190","4","0","194"
"building E Outpost","4","4","0","8"
"building E Settlement Age3","4","4","0","8"
"building E Settlement Age4","4","4","0","8"
"Building G FortressWall","5","4","0","9"
"Building G SettlementAge1","12","4","0","16"
"Building G TempleAge1","4","4","0","8"
"Building G Wonder","4","4","0","8"
"Building G Zues Wonder01","4","4","0","8"
"Building N Hillfort","5","4","0","9"
"Building N Odin Wonder01","2","4","0","6"
