"FileName","Extension","Texture","ColorTransform","MultitextureMode"
"buiding x sky passage_0.mtrl",".mtrl","","",""
"buiding x sky passage_1.mtrl",".mtrl","","",""
"buiding x sky passage_2.mtrl",".mtrl","","",""
"building atlantis wall connector_0.mtrl",".mtrl","","",""
"building atlantis wall long_0.mtrl",".mtrl","","",""
"building c armory age2_0.mtrl",".mtrl","","",""
"building c armory age2_1.mtrl",".mtrl","","",""
"building c armory age2_2.mtrl",".mtrl","","",""
"building c armory age2_3.mtrl",".mtrl","","",""
"building c armory age2_4.mtrl",".mtrl","","",""
"building c armory age2_death_0.mtrl",".mtrl","","",""
"building c armory age2_death_1.mtrl",".mtrl","","",""
"building c armory age2_death_2.mtrl",".mtrl","","",""
"building c armory age2_death_3.mtrl",".mtrl","","",""
"building c armory age2_death_4.mtrl",".mtrl","","",""
"building c armory age3_0.mtrl",".mtrl","","",""
"building c armory age3_1.mtrl",".mtrl","","",""
"building c armory age3_2.mtrl",".mtrl","","",""
"building c armory age3_3.mtrl",".mtrl","","",""
"building c armory age3_4.mtrl",".mtrl","","",""
"building c armory age3_death_0.mtrl",".mtrl","","",""
"building c armory age3_death_1.mtrl",".mtrl","","",""
"building c armory age3_death_2.mtrl",".mtrl","","",""
"building c armory age3_death_3.mtrl",".mtrl","","",""
"building c armory age3_death_4.mtrl",".mtrl","","",""
"building c barracks age2_0.mtrl",".mtrl","","",""
"building c barracks age2_1.mtrl",".mtrl","","",""
"building c barracks age2_2.mtrl",".mtrl","","",""
"building c barracks age2_3.mtrl",".mtrl","","",""
"building c barracks age2_4.mtrl",".mtrl","","",""
"building c barracks age2_death_0.mtrl",".mtrl","","",""
"building c barracks age2_death_1.mtrl",".mtrl","","",""
"building c barracks age2_death_2.mtrl",".mtrl","","",""
"building c barracks age2_death_3.mtrl",".mtrl","","",""
"building c barracks age2_death_4.mtrl",".mtrl","","",""
"building c barracks age3_0.mtrl",".mtrl","","",""
"building c barracks age3_1.mtrl",".mtrl","","",""
"building c barracks age3_2.mtrl",".mtrl","","",""
"building c barracks age3_3.mtrl",".mtrl","","",""
"building c barracks age3_4.mtrl",".mtrl","","",""
"building c barracks age3_death_0.mtrl",".mtrl","","",""
"building c barracks age3_death_1.mtrl",".mtrl","","",""
"building c barracks age3_death_2.mtrl",".mtrl","","",""
"building c barracks age3_death_3.mtrl",".mtrl","","",""
"building c barracks age3_death_4.mtrl",".mtrl","","",""
"building c barracksage2_0.mtrl",".mtrl","","",""
"building c barracksage2_1.mtrl",".mtrl","","",""
"building c barracksage2_2.mtrl",".mtrl","","",""
"building c barracksage2_3.mtrl",".mtrl","","",""
