RelativePath,Source,Destination,Width,Height,TgaImageType,BitsPerPixel,DecodedPixels,RGBA_SHA256,PNG_RGBA_SHA256,Status,Error
dlc-frontend\textures\ui\screen shot a_01.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_01.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_01.png,256,256,2,32,65536,71e8766230f7b94c72511a95f47b8bfb269efcce0c3406d50f506d08ff38b2b4,71e8766230f7b94c72511a95f47b8bfb269efcce0c3406d50f506d08ff38b2b4,PASS,
dlc-frontend\textures\ui\screen shot a_02.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_02.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_02.png,256,256,2,32,65536,42cb0e10a01619d259a46054943c9d562efa0f2d72178ecd74e4eab2b721a343,42cb0e10a01619d259a46054943c9d562efa0f2d72178ecd74e4eab2b721a343,PASS,
dlc-frontend\textures\ui\screen shot a_03.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_03.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_03.png,256,256,2,32,65536,b7a6faeaca6288cfc499db0188c396e31a3ba9f0941e0c951f931b0ab20e716d,b7a6faeaca6288cfc499db0188c396e31a3ba9f0941e0c951f931b0ab20e716d,PASS,
dlc-frontend\textures\ui\screen shot a_04.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_04.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_04.png,256,256,2,32,65536,f998462a5eb97ece2c6b9ebbaaa6cd58f81f34a69a1c0ca0d56bc3d403c942d8,f998462a5eb97ece2c6b9ebbaaa6cd58f81f34a69a1c0ca0d56bc3d403c942d8,PASS,
dlc-frontend\textures\ui\screen shot a_05.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_05.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_05.png,256,256,2,32,65536,d95e2bded789407098c617c7ec796ff429661ddf760f4a33ce68b961c059caa3,d95e2bded789407098c617c7ec796ff429661ddf760f4a33ce68b961c059caa3,PASS,
dlc-frontend\textures\ui\screen shot a_06.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_06.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_06.png,256,256,2,32,65536,68480afe7e91dc90c9891c59ef88d921649799d7d6dcff2f2880c7d68f7145f8,68480afe7e91dc90c9891c59ef88d921649799d7d6dcff2f2880c7d68f7145f8,PASS,
dlc-frontend\textures\ui\screen shot a_07.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_07.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_07.png,256,256,2,32,65536,5aee57b7e515b56be383168e19df22c469888ed9f092979dbcfa254a4e1f4053,5aee57b7e515b56be383168e19df22c469888ed9f092979dbcfa254a4e1f4053,PASS,
dlc-frontend\textures\ui\screen shot a_08.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_08.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_08.png,256,256,2,32,65536,96a5b893506d56aad792122a6f9795e335d6243e9a6c2461e515d223d40e1315,96a5b893506d56aad792122a6f9795e335d6243e9a6c2461e515d223d40e1315,PASS,
dlc-frontend\textures\ui\screen shot a_09.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_09.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_09.png,256,256,2,32,65536,4e6515619d5db936dda068f36bf007f5502a008d72108f66d56295f5aa15837e,4e6515619d5db936dda068f36bf007f5502a008d72108f66d56295f5aa15837e,PASS,
dlc-frontend\textures\ui\screen shot a_10.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_10.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_10.png,256,256,2,32,65536,7107eb3d67bc24b85fe7aa22d1f12e08d638788a60446cac21388d0b8f88ada2,7107eb3d67bc24b85fe7aa22d1f12e08d638788a60446cac21388d0b8f88ada2,PASS,
dlc-frontend\textures\ui\screen shot a_11.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_11.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_11.png,256,256,2,32,65536,a90770fc6501389a30697bdea955396eccaa8b50b0bb9f2a38c6ece74fc93222,a90770fc6501389a30697bdea955396eccaa8b50b0bb9f2a38c6ece74fc93222,PASS,
dlc-frontend\textures\ui\screen shot a_12.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\screen shot a_12.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\screen shot a_12.png,256,256,2,32,65536,3a9d0b9450c4f7dd4a2531636586fc4899252308c221e83f8fb7b6b4a934e910,3a9d0b9450c4f7dd4a2531636586fc4899252308c221e83f8fb7b6b4a934e910,PASS,
dlc-frontend\textures\ui\ui background opaque 1.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui background opaque 1.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui background opaque 1.png,32,32,2,32,1024,35fff717c5b9a185a58434f8e151a44f06067d4813fb32ba8176b5fb7022d5b7,35fff717c5b9a185a58434f8e151a44f06067d4813fb32ba8176b5fb7022d5b7,PASS,
dlc-frontend\textures\ui\ui background opaque 2.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui background opaque 2.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui background opaque 2.png,32,32,2,32,1024,186a360a6b0506f5491ce5123921d2393ef7756cb8fa6830d4dc415236e96658,186a360a6b0506f5491ce5123921d2393ef7756cb8fa6830d4dc415236e96658,PASS,
dlc-frontend\textures\ui\ui background opaque 3.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui background opaque 3.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui background opaque 3.png,32,32,2,32,1024,290a0e6cd6079ee59e40be8606c399aedebdea40ffea13431958ea927cb67acc,290a0e6cd6079ee59e40be8606c399aedebdea40ffea13431958ea927cb67acc,PASS,
dlc-frontend\textures\ui\ui border bottom left corner.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border bottom left corner.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border bottom left corner.png,64,128,2,32,8192,2f83a2fae8bfd755ef013fb597f857ddf834a4352e2d78e618231a6f4a9012b3,2f83a2fae8bfd755ef013fb597f857ddf834a4352e2d78e618231a6f4a9012b3,PASS,
dlc-frontend\textures\ui\ui border bottom middle.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border bottom middle.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border bottom middle.png,128,32,2,32,4096,e29115444952267573c4ed72e0e8df7e0940ecf2bda1be81a1e383765aedcc6f,e29115444952267573c4ed72e0e8df7e0940ecf2bda1be81a1e383765aedcc6f,PASS,
dlc-frontend\textures\ui\ui border bottom right corner.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border bottom right corner.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border bottom right corner.png,64,128,2,32,8192,a6e7c5c37df9e9067d488f6e20b851b766d854e7df29efe95c2fa89d4ce8bba1,a6e7c5c37df9e9067d488f6e20b851b766d854e7df29efe95c2fa89d4ce8bba1,PASS,
dlc-frontend\textures\ui\ui border left middle.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border left middle.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border left middle.png,64,256,2,32,16384,46df4cb49de981210cddc4eb690b3be2d39783241aa4af5c54974480cbc7e2a8,46df4cb49de981210cddc4eb690b3be2d39783241aa4af5c54974480cbc7e2a8,PASS,
dlc-frontend\textures\ui\ui border right middle.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border right middle.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border right middle.png,64,256,2,32,16384,d4f25a9538b80d4467683335b8b1f7ffdf0e69713c4aa12c354460fc2b38da9a,d4f25a9538b80d4467683335b8b1f7ffdf0e69713c4aa12c354460fc2b38da9a,PASS,
dlc-frontend\textures\ui\ui border top left corner.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border top left corner.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border top left corner.png,64,128,2,32,8192,b9a7fadca97c429a285909d5c27cbb775d03085c024ef3d264cfb3ac874780cc,b9a7fadca97c429a285909d5c27cbb775d03085c024ef3d264cfb3ac874780cc,PASS,
dlc-frontend\textures\ui\ui border top middle.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border top middle.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border top middle.png,128,32,2,32,4096,24a5fd539765acbe30dd96f50dd142a9810f0a7c3253a579cc5652152b500421,24a5fd539765acbe30dd96f50dd142a9810f0a7c3253a579cc5652152b500421,PASS,
dlc-frontend\textures\ui\ui border top right corner.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui border top right corner.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui border top right corner.png,64,128,2,32,8192,91ee6fa877bca8a9d0bab0113ea17c69e17925d46b7f2b0a4d3da8b7caab4e1e,91ee6fa877bca8a9d0bab0113ea17c69e17925d46b7f2b0a4d3da8b7caab4e1e,PASS,
dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.png,32,64,2,32,2048,194f78caf8eaff74c1bfd7dce015ea6423b1d791d9d53d0812960188ffa520cd,194f78caf8eaff74c1bfd7dce015ea6423b1d791d9d53d0812960188ffa520cd,PASS,
dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.png,32,64,2,32,2048,0f922730eb8a7351f1295a589480be8561b96bcbe1a7f7b89fc0506235e2b455,0f922730eb8a7351f1295a589480be8561b96bcbe1a7f7b89fc0506235e2b455,PASS,
dlc-frontend\textures\ui\ui button arrow down 32x64.tga,D:\AI_upscaling\AoMEE\input\production_source\dlc-frontend\textures\ui\ui button arrow down 32x64.tga,D:\AI_upscaling\AoMEE\input\production_source_png\dlc-frontend\textures\ui\ui button arrow down 32x64.png,32,64,2,32,2048,757ec10052b03ced9869e6e60b03ee19c559cfd62aaf434f60a688ee2cbb2365,757ec10052b03ced9869e6e60b03ee19c559cfd62aaf434f60a688ee2cbb2365,PASS,
