"RelativePath","FullPath","Size","UTF8BOM","Alpha","NoMip","Format","Text"
"dlc-frontend\textures\ui\screen shot a_01.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_02.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_03.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_04.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_05.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_06.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_07.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_08.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_09.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_10.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_11.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_11.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\screen shot a_12.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_12.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\ui background opaque 1.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 1.bti","25","False","1","False","DeflatedRGBA8","alpha=1 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\ui background opaque 2.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 2.bti","25","False","1","False","DeflatedRGBA8","alpha=1 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\ui background opaque 3.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 3.bti","25","False","1","False","DeflatedRGBA8","alpha=1 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\ui border bottom left corner.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.bti","25","False","1","False","DeflatedRGBA8","alpha=1 fmt=DeflatedRGBA8"
"dlc-frontend\textures\ui\ui border bottom middle.bti","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.bti","25","False","1","False","DeflatedRGBA8","alpha=1 fmt=DeflatedRGBA8"
