"Filename","BTIFile","NoAlphaTest","AlphaBits","Format"
"screen shot a_01","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.bti","False","0","DeflatedRGBA8"
"screen shot a_02","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.bti","False","0","DeflatedRGBA8"
"screen shot a_03","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.bti","False","0","DeflatedRGBA8"
"screen shot a_04","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.bti","False","0","DeflatedRGBA8"
"screen shot a_05","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.bti","False","0","DeflatedRGBA8"
"screen shot a_06","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.bti","False","0","DeflatedRGBA8"
"screen shot a_07","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.bti","False","0","DeflatedRGBA8"
"screen shot a_08","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.bti","False","0","DeflatedRGBA8"
"screen shot a_09","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.bti","False","0","DeflatedRGBA8"
"screen shot a_10","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.bti","False","0","DeflatedRGBA8"
"screen shot a_11","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_11.bti","False","0","DeflatedRGBA8"
"screen shot a_12","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_12.bti","False","0","DeflatedRGBA8"
"ui background opaque 1","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 1.bti","False","1","DeflatedRGBA8"
"ui background opaque 2","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 2.bti","False","1","DeflatedRGBA8"
"ui background opaque 3","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 3.bti","False","1","DeflatedRGBA8"
"ui border bottom left corner","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.bti","False","1","DeflatedRGBA8"
"ui border bottom middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.bti","False","1","DeflatedRGBA8"
"ui border bottom right corner","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom right corner.bti","False","1","DeflatedRGBA8"
"ui border left middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border left middle.bti","False","1","DeflatedRGBA8"
"ui border right middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border right middle.bti","False","1","DeflatedRGBA8"
"ui border top left corner","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top left corner.bti","False","1","DeflatedRGBA8"
"ui border top middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top middle.bti","False","1","DeflatedRGBA8"
"ui border top right corner","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top right corner.bti","False","1","DeflatedRGBA8"
"ui button arrow down 32x64 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.bti","False","1","DeflatedRGBA8"
"ui button arrow down 32x64 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.bti","False","1","DeflatedRGBA8"
"ui button arrow down 32x64","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.bti","False","1","DeflatedRGBA8"
"ui button arrow left 64x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button arrow left 64x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button arrow left 64x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.bti","False","1","DeflatedRGBA8"
"ui button arrow right 64x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button arrow right 64x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button arrow right 64x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32.bti","False","1","DeflatedRGBA8"
"ui button arrow up 32x64 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.bti","False","1","DeflatedRGBA8"
"ui button arrow up 32x64 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.bti","False","1","DeflatedRGBA8"
"ui button arrow up 32x64","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64.bti","False","1","DeflatedRGBA8"
"ui button check box 32x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button check box 32x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 rollover.bti","False","4","DeflatedRGBA8"
"ui button check box 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32.bti","False","1","DeflatedRGBA8"
"ui button long 128x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button long 128x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button long 128x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32.bti","False","1","DeflatedRGBA8"
"ui button long 160x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button long 160x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button long 160x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32.bti","False","1","DeflatedRGBA8"
"ui button long 192x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button long 192x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button long 192x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32.bti","False","1","DeflatedRGBA8"
"ui button long 224x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button long 224x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button long 224x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32.bti","False","1","DeflatedRGBA8"
"ui button long 96x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button long 96x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button long 96x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32.bti","False","1","DeflatedRGBA8"
"ui button radial 32x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 clicked.bti","False","0","DeflatedRGBA8"
