"Texture","CT4Count","AlsoCT0","PixelXForm","NoAlphaTest","BTI_AlphaBits","BTI_Format","TGA_AlphaType","OpaqueCoveragePct","CoverageGroup"
"_missingtexture","1","False","False","False","0","BC3","","",""
"Agamemnon Map","1","True","False","True","1","BC3","MultiValue","5.562","0-10%"
"alfred_crown","7","False","False","False","","","","",""
"Animal Cow A map","14","True","False","True","1","BC3","Binary","2.686","0-10%"
"animal dog a map","6","True","False","False","","","","",""
"Animal Flying Purple Hippo","11","True","False","True","1","BC3","Binary","0","0-10%"
"Animal Goat map","21","True","False","True","1","BC3","MultiValue","2.612","0-10%"
"Animal GoatNubian map","23","True","False","True","1","BC3","Binary","1.807","0-10%"
"Animal Pig map","9","True","False","True","1","BC3","MultiValue","1.685","0-10%"
"animal white tiger map","9","False","False","True","4","BC3","MultiValue","1.031","0-10%"
"Animal William Walrus Map","1","False","False","True","4","BC3","MultiValue","4.701","0-10%"
"Animal Yak","8","False","False","True","4","BC3","MultiValue","1.025","0-10%"
"archer c crossbowman head copper","1","False","False","True","4","BC3","MultiValue","9.668","0-10%"
"archer c crossbowman head standard","1","False","False","True","4","BC3","Binary","0","0-10%"
"archer c crossbowman standard","7","False","False","True","4","BC3","MultiValue","10.498","10-25%"
"archer c mounted archer head standard","1","False","False","True","4","BC3","Binary","0","0-10%"
"archer c mounted archer horse standard","7","False","False","True","4","BC3","MultiValue","0.391","0-10%"
"archer c mounted archer standard","7","False","False","True","4","BC3","MultiValue","9.521","0-10%"
"Archer E Slinger Head Standard","8","True","False","True","1","BC3","MultiValue","9.961","0-10%"
"archer e slinger standard","7","True","False","True","1","BC3","MultiValue","31.86","25-50%"
"Archer G Crossbowman","7","True","False","True","1","BC3","MultiValue","13.794","10-25%"
"Archer G Peltast Cape Standard","6","False","False","True","1","BC3","Binary","80.908","75-100%"
"Archer G Peltast Head Standard","7","True","False","True","1","BC3","MultiValue","34.082","25-50%"
"Archer G Peltast Standard","6","True","False","True","1","BC3","MultiValue","53.735","50-75%"
"Archer G Toxotes Head Bronze","1","True","False","True","1","BC3","Binary","10.059","10-25%"
"Archer G Toxotes Head Copper","1","True","False","True","1","BC3","Binary","10.059","10-25%"
"Archer G Toxotes Head Iron","2","True","False","True","1","BC3","Binary","10.059","10-25%"
"Archer G Toxotes Iron","1","True","False","True","1","BC3","MultiValue","24.292","10-25%"
"Archer G Toxotes Standard","8","True","False","True","1","BC3","MultiValue","34.961","25-50%"
"Archer N Normal Head Standard","1","False","False","True","4","BC3","Binary","0","0-10%"
"Archer N Normal Standard","6","False","False","True","4","BC3","MultiValue","14.526","10-25%"
"Archer N Throwing Axeman Standard","7","True","False","True","1","BC3","MultiValue","52.93","50-75%"
"Archer X Iron","17","True","False","True","1","BC3","MultiValue","14.673","10-25%"
"Attachments A Arrow map","4","True","False","False","1","BC3","","",""
"Attachments A Shields map","6","False","False","True","1","BC3","MultiValue","13.391","10-25%"
"attachments c flag naval","2","False","False","True","4","BC3","MultiValue","35.498","25-50%"
"Attachments E Shield Copper","6","False","False","True","1","BC3","MultiValue","16.052","10-25%"
"Attachments G Shield Copper","6","False","False","True","1","BC3","MultiValue","13.977","10-25%"
"Attachments MU X Automaton","14","True","False","True","1","BC3","MultiValue","7.373","0-10%"
"Attachments N Shield Cav Bronze map","1","False","False","False","","","","",""
"Attachments N Shield Cav Copper map","1","False","False","False","","","","",""
"Attachments N Shield Cav Iron map","1","False","False","False","","","","",""
"Attachments N Shield Copper","6","False","False","True","1","BC3","MultiValue","16.162","10-25%"
"Attachments N Shield Iron","2","True","False","True","1","BC3","MultiValue","12.915","10-25%"
"Attachments X Shield Medium","6","False","False","True","1","BC3","MultiValue","12.476","10-25%"
"Building Attachments","5","True","False","False","1","BC3","","",""
"building c accessories","8","True","False","True","1","BC3","MultiValue","2.884","0-10%"
"building c earthen wall","17","False","False","True","4","BC3","Binary","1.91","0-10%"
"building c fortified wall","17","True","False","True","4","BC3","Binary","1.91","0-10%"
"building c fortress age 3","1","False","False","False","","","","",""
"building c great wall","17","False","False","True","4","BC3","Binary","1.91","0-10%"
"building c roofage1","46","True","False","True","4","BC3","Binary","0","0-10%"
"building c special","12","True","False","True","4","BC3","Binary","0","0-10%"
"building c stone wall","17","False","False","True","4","BC3","Binary","1.91","0-10%"
"building c titan gate door map","6","False","False","True","1","BC3","MultiValue","10.266","10-25%"
"building c titan gate map","6","True","False","False","1","BC3","","",""
"building c tower age2","8","False","False","True","4","BC3","Binary","2.094","0-10%"
"building c towers","4","False","False","False","","","","",""
"building c wallsage1","43","False","False","True","4","BC3","MultiValue","0.476","0-10%"
"building c wonder city roof","2","False","False","True","4","BC3","Binary","0","0-10%"
"building c wonder city walls","1","False","False","True","4","BC3","Binary","0","0-10%"
"building c wonder palace roof","2","False","False","True","4","BC3","Binary","0","0-10%"
"building c wonder palace walls","2","False","False","True","4","BC3","MultiValue","0.024","0-10%"
"building c wonder temple","4","False","False","True","4","BC3","Binary","0.873","0-10%"
"Building E Age1","36","True","False","True","1","BC3","MultiValue","2.762","0-10%"
"Building E Age2","47","True","False","True","1","BC3","Binary","3.07","0-10%"
"building E Age2 wall","32","True","False","True","1","BC3","MultiValue","1.955","0-10%"
"Building E Age3","96","True","False","True","1","BC3","MultiValue","4.213","0-10%"
"building E Age4","60","True","False","True","1","BC3","Binary","5.151","0-10%"
"building E Fortress Accessories","4","True","False","True","4","BC3","MultiValue","0","0-10%"
