RelativePath,DDTRelativePath,ManifestStatus,OriginalBTIFormat,CompileFormat,FallbackUsed,Provisional,ExpectedTgaSHA256,ActualTgaSHA256,ExpectedDDTSHA256,ActualDDTSHA256,ExpectedDDTBytes,ActualDDTBytes,SourceTgaWidth,SourceTgaHeight,SourceTgaBPP,DDTMagic,DDTProperties,DDTAlphaBits,DDTFormatByte,DDTMipLevels,DDTWidth,DDTHeight,DDTDataTableEnd,DDTDataEntryCount,DDTDataEntriesInBounds,DDTDataEntriesNonOverlapping,DDTExpectedFormatByte,DDTExpectedAlphaBits,AuthoritativeBTIFormat,AuthoritativeBTIAlpha,AuthoritativeBTINoAlphaTest,AuthoritativeBTINoMip,AuthoritativeBTINoLowDetail,AuthoritativeBTIDisplacement,SourceTGAShaPASS,DDTHashPASS,DDTSizePASS,SourceTgaStructurePASS,MagicPASS,DDTFormatPASS,DDTAlphaPASS,DDTDimensionsPASS,DDTDataTablePASS,DDTPropertyPASS,ExtractorExitCode,ExtractorExitHex,ExtractorTimedOut,ExtractedTgaExists,ExtractedBTIExists,ExtractedTgaWidth,ExtractedTgaHeight,ExtractedTgaBPP,ExtractedBTIFormat,ExtractedBTIAlpha,ExtractorDecodePASS,CorePASS,OVERALLPASS,FailureStage,FailureReason,ExtractorOutput,ElapsedSeconds
dlc-frontend\textures\ui\screen shot a_01.tga,dlc-frontend\textures\ui\screen shot a_01.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,4356dbd86f2b97864c58c7db6daf56a5e70968591202d78948dbbf9b40af90cf,4356dbd86f2b97864c58c7db6daf56a5e70968591202d78948dbbf9b40af90cf,8c749db53a75e8553d6da3794b0361c60e9b56ba2c46680936d7784c407631cd,8c749db53a75e8553d6da3794b0361c60e9b56ba2c46680936d7784c407631cd,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_01.ddt	SUCCEEDED
Decompressed 1 textures.
",0.406
dlc-frontend\textures\ui\screen shot a_02.tga,dlc-frontend\textures\ui\screen shot a_02.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,afb242d87644a00a4cf076969f09a726a429e88fc1b3d0fe9760c4b0e9c7df29,afb242d87644a00a4cf076969f09a726a429e88fc1b3d0fe9760c4b0e9c7df29,1331f1118d2f2e224d2c673f4e6db25649332824345aeff05b0e8c744ea0c299,1331f1118d2f2e224d2c673f4e6db25649332824345aeff05b0e8c744ea0c299,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_02.ddt	SUCCEEDED
Decompressed 1 textures.
",0.442
dlc-frontend\textures\ui\screen shot a_03.tga,dlc-frontend\textures\ui\screen shot a_03.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,2e5ed19a1894e2514d0669856c645a1f9981c406a94848cba0391c3829dff16b,2e5ed19a1894e2514d0669856c645a1f9981c406a94848cba0391c3829dff16b,4b2a5cb59771793acbc7adc73a155fff0ebcf6a24432c3fda941b557d80c4d10,4b2a5cb59771793acbc7adc73a155fff0ebcf6a24432c3fda941b557d80c4d10,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_03.ddt	SUCCEEDED
Decompressed 1 textures.
",0.299
dlc-frontend\textures\ui\screen shot a_04.tga,dlc-frontend\textures\ui\screen shot a_04.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,accc71dd7917e48c5e4f9edb70aca9508bf3096902ac3c177a2bbb09bc119c41,accc71dd7917e48c5e4f9edb70aca9508bf3096902ac3c177a2bbb09bc119c41,132504b61f469cdb1dd59318b3ae70eaf70bc79eff94c95699b276a960b15563,132504b61f469cdb1dd59318b3ae70eaf70bc79eff94c95699b276a960b15563,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_04.ddt	SUCCEEDED
Decompressed 1 textures.
",0.336
dlc-frontend\textures\ui\screen shot a_05.tga,dlc-frontend\textures\ui\screen shot a_05.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,60f7a95aa9427a83bbf2e7b999062492b52138b214ac2f3d21350b3d604d4671,60f7a95aa9427a83bbf2e7b999062492b52138b214ac2f3d21350b3d604d4671,64d02f689cd33b6655f693a0bb3acd560bf60d450dad073c81a543a323f2e52f,64d02f689cd33b6655f693a0bb3acd560bf60d450dad073c81a543a323f2e52f,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_05.ddt	SUCCEEDED
Decompressed 1 textures.
",0.286
dlc-frontend\textures\ui\screen shot a_06.tga,dlc-frontend\textures\ui\screen shot a_06.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,cde26550e8136e489a3320a1eed5570cfeed985a4c727dc701b7e848e742d1dd,cde26550e8136e489a3320a1eed5570cfeed985a4c727dc701b7e848e742d1dd,4e1ca0c7253abce009da52e2dde5d36edca7ae2285bb03ccb1523432ce5efade,4e1ca0c7253abce009da52e2dde5d36edca7ae2285bb03ccb1523432ce5efade,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_06.ddt	SUCCEEDED
Decompressed 1 textures.
",2.079
dlc-frontend\textures\ui\screen shot a_07.tga,dlc-frontend\textures\ui\screen shot a_07.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,3b5af6736a781c00572507a2842631f0c22da388c2d51387e6cc0061e3dd5fb0,3b5af6736a781c00572507a2842631f0c22da388c2d51387e6cc0061e3dd5fb0,a8a127f115ca0626906df76022173e5286812433bd2af8122047366b567d16c9,a8a127f115ca0626906df76022173e5286812433bd2af8122047366b567d16c9,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_07.ddt	SUCCEEDED
Decompressed 1 textures.
",0.308
dlc-frontend\textures\ui\screen shot a_08.tga,dlc-frontend\textures\ui\screen shot a_08.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,9d79bbc9c42c3fed030b8e1975598d468a43d20a213697e68039c1d1794293da,9d79bbc9c42c3fed030b8e1975598d468a43d20a213697e68039c1d1794293da,22c4b0ad069963aec883ef777c84af99ab3b825fe298841bc3867fd315f20494,22c4b0ad069963aec883ef777c84af99ab3b825fe298841bc3867fd315f20494,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_08.ddt	SUCCEEDED
Decompressed 1 textures.
",0.325
dlc-frontend\textures\ui\screen shot a_09.tga,dlc-frontend\textures\ui\screen shot a_09.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,f6bf93cab46f1b2f7d522425ddc4131c247062a01cc16cb87f30f33875f7cc46,f6bf93cab46f1b2f7d522425ddc4131c247062a01cc16cb87f30f33875f7cc46,33d9a3dcf933a7eefd730d05a65e3197f3a39674f9379fa551007f0f24a1f79f,33d9a3dcf933a7eefd730d05a65e3197f3a39674f9379fa551007f0f24a1f79f,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_09.ddt	SUCCEEDED
Decompressed 1 textures.
",0.244
dlc-frontend\textures\ui\screen shot a_10.tga,dlc-frontend\textures\ui\screen shot a_10.ddt,OK,DEFLATEDRGBA8,DEFLATEDRGBA8,NO,NO,00e73f7ff577e168cb8988dfc27662f343ba416a1835de847b23bc243b4009bf,00e73f7ff577e168cb8988dfc27662f343ba416a1835de847b23bc243b4009bf,f80d81be17be88b632162317179d5c73cc61c40554872507108ff16e8edd8b21,f80d81be17be88b632162317179d5c73cc61c40554872507108ff16e8edd8b21,655392,655392,1024,1024,32,RTS3,0,0,4,2,1024,1024,32,2,True,True,10,0,DEFLATEDRGBA8,0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,0,0x00000000,False,True,True,1024,1024,32,BC3,0,True,False,False,CORE_DDT_INTEGRITY,format=4/10,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\dlc-frontend\textures\ui\screen shot a_10.ddt	SUCCEEDED
Decompressed 1 textures.
",0.252
