LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
dlc-frontend/textures/ui/screen shot a_01.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_02.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_03.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_04.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_05.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_06.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_07.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_08.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_09.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_10.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_11.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_11.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/screen shot a_12.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_12.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui background opaque 1.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 1.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui background opaque 2.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 2.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui background opaque 3.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 3.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
