LogicalTGA,SourceClass,ActualPath,ExpectedWidth,ExpectedHeight,ActualWidth,ActualHeight,ActualSizeBytes,HistoricalFileSizeKB,ExpectedImageType,ExpectedBitsPerPixel,ExpectedAlphaBits,ExpectedDecodedPixels,ActualImageType,ActualBitsPerPixel,ActualAlphaBits,DecodeOK,DimensionsOK,FormatOK,DecodedPixelsOK,Status,Error
dlc-frontend\textures\ui\screen shot a_01.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_02.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_03.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_04.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_05.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_06.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_07.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_08.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_09.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_10.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_11.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_11.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\screen shot a_12.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_12.tga,256,256,256,256,262162,256.0,2,32,8,65536,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui background opaque 1.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 1.tga,32,32,32,32,4114,4.0,2,32,8,1024,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui background opaque 2.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 2.tga,32,32,32,32,4114,4.0,2,32,8,1024,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui background opaque 3.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui background opaque 3.tga,32,32,32,32,4114,4.0,2,32,8,1024,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border bottom left corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.tga,64,128,64,128,32786,32.0,2,32,8,8192,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border bottom middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.tga,128,32,128,32,16402,16.0,2,32,8,4096,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border bottom right corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom right corner.tga,64,128,64,128,32786,32.0,2,32,8,8192,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border left middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border left middle.tga,64,256,64,256,65554,64.0,2,32,8,16384,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border right middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border right middle.tga,64,256,64,256,65554,64.0,2,32,8,16384,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border top left corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top left corner.tga,64,128,64,128,32786,32.0,2,32,8,8192,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border top middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top middle.tga,128,32,128,32,16402,16.0,2,32,8,4096,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui border top right corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top right corner.tga,64,128,64,128,32786,32.0,2,32,8,8192,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga,32,64,32,64,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga,32,64,32,64,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow down 32x64.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.tga,32,64,32,64,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga,64,32,64,32,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga,64,32,64,32,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow left 64x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.tga,64,32,64,32,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga,64,32,64,32,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga,64,32,64,32,8210,8.0,2,32,8,2048,2,32,8,True,True,True,True,PASS,
