LogicalTGA,SourceClass,TGAPath,TGABYTES,TGASHA256,BTIPath,BTIBYTES,BTISHA256
dlc-frontend\textures\ui\screen shot a_01.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.tga,262162,9337d83285b5dabe53521eacc2e0746662406ad5d926fd8d3e223cf73aabb07b,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_02.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.tga,262162,f04d44126c7b97e656524d47e6f6e64b133f72ccdbabf3009e02416a9645dea8,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_03.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.tga,262162,418e163233000bb4ca0385df35d5268ad48b3bddafe49463c80e197c15f55db7,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_04.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.tga,262162,34829f2ea3f878e4fb47a8701b7be89871b7f528d8f1a7ab852c50af9db60ccb,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_05.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.tga,262162,94a6b4aaf4ba6a19c14bef4a6c7c56e0edb7051649d7d1e8b15e548626978f23,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_06.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.tga,262162,2db323d94d95c9316fdc4b7b7aea72c12e7b7beba9a2965ce66331e2a122338f,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_07.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.tga,262162,7bc6f315d4e989b919e067880ec4c6e32b3440961a371e626e8a4350570e2931,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_08.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.tga,262162,e0fd17b611a3aec434b1eeb4a740992c9aaca08eb1bf8fdbb962f103555b3746,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_09.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.tga,262162,58c7c3ffa0d98008ece7fb385f975c3e535162bf642314237866b234d39efb57,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
dlc-frontend\textures\ui\screen shot a_10.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.tga,262162,860073af7d5504f52596e63fef29109f03b79e8b08c9258c088c577ba7eb1caa,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.bti,25,3823028b4416e4f250c717ab672ff2ff1e12fab10284a82369bdb3b8097da106
