"RelativePath","Status","TGA","BTI"
"textures\animal dog a map.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal dog a map.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal dog a map.bti"
"textures\animal dog b map.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal dog b map.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal dog b map.bti"
"textures\animal elephant indian.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal elephant indian.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal elephant indian.bti"
"textures\animal parrot map.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal parrot map.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\animal parrot map.bti"
"textures\archer c crossbow.ddt","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\archer c crossbow.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\archer c crossbow.bti"
"textures\icons\boat c fire ship chinese icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c fire ship chinese icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c fire ship chinese icon.bti"
"textures\icons\boat c fishing boat icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c fishing boat icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c fishing boat icon.bti"
"textures\icons\boat c junk icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c junk icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c junk icon.bti"
"textures\icons\boat c siege ship chinese icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c siege ship chinese icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c siege ship chinese icon.bti"
"textures\icons\boat c transport icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c transport icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\boat c transport icon.bti"
