Candidate,CandidateDisplay,Kind,File,Offset,Encoding,MatchedBytes,Context
black_tortoise,Black Tortoise,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\textures\icons\special c black tortoise icon.DDT,,,special c black tortoise icon,
black_tortoise,Black Tortoise,FILENAME,D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c black tortoise icon.bti,,,special c black tortoise icon,
black_tortoise,Black Tortoise,FILENAME,D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c black tortoise icon.tga,,,special c black tortoise icon,
griffon,Gryphon / Griffon,CONTENT_REFERENCE,D:\AI_upscaling\AoMEE\Age of Mythology\AoMX.exe,6669448,UTF-16LE,67 00 72 00 69 00 66 00 66 00 6f 00 6e 00,c a l e _ a n i m . t x t w o r l d x c o l u m n f a l l e n . b r g g r i f f o n _ a n i m . t x t w o r l d x c o l u m n . b r g g r o w t h _ a n i m . t x t w o r l d x d e b r i
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\anim\version1.0\griffon_anim.txt,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\anim\version2.0\griffon_anim.txt,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_attacka_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_attacka_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_birtha_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_birtha_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_boreda_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_boreda_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_deatha_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_deatha_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_flaila_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_flaila_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_idlea_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_idlea_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_walka_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\materials\special g griffon_walka_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_attacka.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_birtha.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_boreda.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_deatha.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_flaila.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_idlea.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\models\version2.0\special g griffon_walka.brg,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\modelsfx\special g griffon.dcl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffon_snds.xml,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffonacknowledge1.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffonacknowledge2.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffondeath.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffongrunt1.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffongrunt2.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffonselect1.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\sound\griffonselect2.wav,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\textures\icons\special g griffon icon.ddt,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\Age of Mythology\textures\special g griffon map.ddt,,,special g griffon map,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\special g griffon map.bti,,,special g griffon map,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\special g griffon map.tga,,,special g griffon map,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\extracted\textures\icons\special g griffon icon.bti,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\extracted\textures\icons\special g griffon icon.tga,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_attacka_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_attacka_0.mtrl.xml,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_attacka_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_attacka_1.mtrl.xml,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_birtha_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_birtha_0.mtrl.xml,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_birtha_1.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_birtha_1.mtrl.xml,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_boreda_0.mtrl,,,griffon,
griffon,Gryphon / Griffon,FILENAME,D:\AI_upscaling\AoMEE\reports\materials_xml\special g griffon_boreda_0.mtrl.xml,,,griffon,
