"RelativePath","SourceType","TgaPath","BtiPath","OriginalDdtPath","Width","Height","TgaImageType","BitsPerPixel","TgaBytes","BtiFound","OriginalDdtFound","ProcessingEligible","DuplicateRelativePath"
"dlc-frontend\textures\ui\screen shot a_01.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_01.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_01.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_02.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_02.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_02.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_03.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_03.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_03.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_04.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_04.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_04.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_05.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_05.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_05.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_06.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_06.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_06.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_07.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_07.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_07.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_08.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_08.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_08.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_09.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_09.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_09.ddt","256","256","2","32","262162","True","True","True","False"
"dlc-frontend\textures\ui\screen shot a_10.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\screen shot a_10.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\screen shot a_10.ddt","256","256","2","32","262162","True","True","True","False"
