"Filename","Category","MaterialFile","Texture","ColorTransform","PixelXForm"
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow horns_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boreda_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boreda_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boreda_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredb_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredb_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredb_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredc_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredc_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredc_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_deatha_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_deatha_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_deatha_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_flaila_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_flaila_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_idlea_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_idlea_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_idlea_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_runa_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_runa_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_runa_2.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_walka_0.mtrl.xml","Animal Cow A map","0",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_walka_1.mtrl.xml","Animal Cow A map","4",""
"animal cow a map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_walka_2.mtrl.xml","Animal Cow A map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_boreda_0.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_boreda_1.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_boreda_2.mtrl.xml","Animal GoatNubian map","4",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_deatha_0.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_deatha_1.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idlea_0.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idlea_1.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idlea_2.mtrl.xml","Animal GoatNubian map","4",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idleb_0.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idleb_1.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idleb_2.mtrl.xml","Animal GoatNubian map","4",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idlec_0.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idlec_1.mtrl.xml","Animal GoatNubian map","0",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_idlec_2.mtrl.xml","Animal GoatNubian map","4",""
"animal goatnubian map.tga","Animal","D:\AI_upscaling\AoMEE\reports\materials_xml\animal goatnubian fat_walka_0.mtrl.xml","Animal GoatNubian map","0",""
