"MaterialFile","Texture","SecondaryTexture","SameBitmap"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval e fishing_specialdeatha_2.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval e kebenit_specialdeatha_4.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval e ramming galley_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval e transport_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval e war barge_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval g argo_specialdeatha_4.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval g fishing_specialdeatha_2.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval g juggernaut_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval g pentekonter_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval g transport_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval g trireme_specialdeatha_3.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n dragon_specialdeatha_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n drakkar_specialdeatha_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n fishing_specialdeatha_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_attacka_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_attacka_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
