"Texture","Total","CT0","CT4","OtherCT","PixelXForm"
"_missingtexture","1","0","1","0","0"
"Agamemnon Map","3","2","1","0","0"
"alfred","7","7","0","0","0"
"alfred_crown","7","0","7","0","0"
"Animal Aurochs Map","18","18","0","0","0"
"Animal Baboon map","7","7","0","0","0"
"Animal Bear map","26","26","0","0","0"
"Animal Bearlaser beam map","5","5","0","0","0"
"Animal Bearlaser cape map","5","5","0","0","0"
"Animal Bearlaser map","10","10","0","0","0"
"Animal Boar map","33","33","0","0","0"
"Animal Camel map","1","1","0","0","0"
"Animal Caribou Antlers map","1","1","0","0","0"
"Animal Caribou map","44","44","0","0","0"
"Animal Chicken map","6","6","0","0","0"
"Animal Cow A map","45","31","14","0","0"
"Animal Crocodile Map","12","12","0","0","0"
"Animal Crowned Crane Map","18","18","0","0","0"
"Animal Deer map","33","33","0","0","0"
"animal dog a map","8","2","6","0","0"
"Animal Dove","1","1","0","0","0"
"animal duck map","4","4","0","0","0"
"animal eagle map","1","1","0","0","0"
"animal elephant indian","6","6","0","0","0"
"Animal Elephant Map","24","24","0","0","0"
"Animal Elk map","34","34","0","0","0"
"Animal Fish Anchovy","4","4","0","0","0"
"Animal Fish Herring","3","3","0","0","0"
"Animal Fish Mahi","5","5","0","0","0"
"Animal Fish Perch","4","4","0","0","0"
"Animal Fish Salmon","4","4","0","0","0"
"Animal Flying Purple Hippo","22","11","11","0","0"
"Animal Flying Purple Hippo Wings","2","2","0","0","0"
"Animal Gazelle map","40","40","0","0","0"
"Animal Giraffe map","30","30","0","0","0"
"Animal Goat map","56","35","21","0","0"
"Animal GoatNubian map","58","35","23","0","0"
"Animal Hawk","2","2","0","0","0"
"Animal Hippo Map","18","18","0","0","0"
"Animal Hyena map","24","24","0","0","0"
"Animal Lion map","14","14","0","0","0"
"animal lizard map","6","6","0","0","0"
"Animal Monkey map","20","20","0","0","0"
"Animal Orca Map","4","4","0","0","0"
"animal panda bear map","7","7","0","0","0"
"animal parrot map","1","1","0","0","0"
"Animal Pig map","27","18","9","0","0"
"Animal Polar Bear map","27","27","0","0","0"
"Animal PRMonkey","5","5","0","0","0"
"Animal Ram map","5","5","0","0","0"
"Animal Rhino map","20","20","0","0","0"
"Animal Rooster","6","6","0","0","0"
"Animal Sea Gull","1","1","0","0","0"
"Animal Shark Map","4","4","0","0","0"
"animal tiger map","7","7","0","0","0"
"Animal Walrus Map","14","14","0","0","0"
"Animal WaterBuffalo map","17","17","0","0","0"
"Animal Whale Map","2","2","0","0","0"
"animal white tiger map","9","0","9","0","0"
"Animal William Walrus Map","1","0","1","0","0"
"Animal Wolf map","14","14","0","0","0"
"Animal Yak","8","0","8","0","0"
"Animal Zebra map","35","35","0","0","0"
"archer c crossbow","1","1","0","0","0"
"archer c crossbowman bowstring","7","7","0","0","0"
"archer c crossbowman head copper","1","0","1","0","0"
"archer c crossbowman head standard","1","0","1","0","0"
"archer c crossbowman standard","7","0","7","0","0"
