"MaterialFile","Texture","ColorTransform","PixelXForm"
"D:\AI_upscaling\AoMEE\reports\materials_xml\agamemn_aomsp07pivotwalk_0.mtrl.xml","Agamemnon Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\agamemn_aomsp07pivotwalk_1.mtrl.xml","Agamemnon Map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\agamemn_aomsp07pivotwalk_2.mtrl.xml","Agamemnon Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\agamemn_aomsp07pivotwalk_3.mtrl.xml","shadow unit circle 32x32","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_attacka_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_attacka_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_birtha_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_birtha_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_boreda_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_boreda_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_deatha_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_deatha_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_flaila_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_flaila_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_idlea_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_idlea_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_walka_0.mtrl.xml","alfred","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal alfred_walka_1.mtrl.xml","alfred_crown","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_attacka_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_boreda_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_boredb_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_boredc_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_deatha_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_flaila_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_idlea_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_runa_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal aurochs_walka_0.mtrl.xml","Animal Aurochs Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal baboon_attacka_0.mtrl.xml","Animal Baboon map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal baboon_boreda_0.mtrl.xml","Animal Baboon map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal baboon_deatha_0.mtrl.xml","Animal Baboon map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal baboon_flaila_0.mtrl.xml","Animal Baboon map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal baboon_idlea_0.mtrl.xml","Animal Baboon map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal baboon_walka_0.mtrl.xml","Animal Baboon map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_0.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_1.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_2.mtrl.xml","Animal Bearlaser beam map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_3.mtrl.xml","Animal Bearlaser cape map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_4.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_5.mtrl.xml","Animal Monkey map","0",""
