"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"animal flying purple hippo.tga",,"256","128","1","Binary","32768","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal flying purple hippo.bti"
"animal prmonkey.tga",,"128","128","1","Binary","16384","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal prmonkey.bti"
"archer c crossbowman head standard.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head standard.bti"
"archer c mounted archer head bronze.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head bronze.bti"
"archer c mounted archer head copper.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head copper.bti"
"archer c mounted archer head iron.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head iron.bti"
"archer c mounted archer head standard.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head standard.bti"
"archer n normal head bronze.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head bronze.bti"
"archer n normal head copper.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head copper.bti"
"archer n normal head iron.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head iron.bti"
"archer n normal head standard.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head standard.bti"
"building c roofage1.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c roofage1.bti"
"building c roofage2.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c roofage2.bti"
"building c roofage3.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c roofage3.bti"
"building c roofage4.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c roofage4.bti"
"building c special.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c special.bti"
"building c titan gate rocks.tga",,"128","128","1","Binary","16384","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c titan gate rocks.bti"
"building c wonder city floor.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city floor.bti"
"building c wonder city roof.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city roof.bti"
"building c wonder city walls.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city walls.bti"
"building c wonder palace floor.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace floor.bti"
"building c wonder palace roof.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace roof.bti"
"building e age3a accessories.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age3a accessories.bti"
"building e age4 accessories.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age4 accessories.bti"
"building e age4roof.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age4roof.bti"
"building e fortress accessories.tga",,"256","256","31","MultiValue","64593","943","0","1.439","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e fortress accessories.bti"
"building e fortress accessories02.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e fortress accessories02.bti"
