"Texture","HasCT4"
"animal caribou map","False"
"animal chicken","False"
"animal cow b map","False"
"animal cow c map","False"
"animal duck map","False"
"animal fish anchovy","False"
"animal fish herring","False"
"animal fish mahi","False"
"animal fish perch","False"
"animal fish salmon","False"
"animal lizard map","False"
"animal prmonkey","False"
"animal rooster","False"
"animal tiger map","False"
"archer c crossbowman bowstring","False"
"archer c crossbowman bronze","False"
"archer c crossbowman copper","False"
"archer c crossbowman head bronze","False"
"archer c crossbowman head iron","False"
"archer c crossbowman iron","False"
"archer c mounted archer bronze","False"
"archer c mounted archer copper","False"
"archer c mounted archer head bronze","False"
"archer c mounted archer head copper","False"
"archer c mounted archer head iron","False"
"archer c mounted archer horse bronze","False"
"archer c mounted archer horse copper","False"
"archer c mounted archer horse iron","False"
"archer c mounted archer iron","False"
"archer e slinger bronze","False"
"archer e slinger copper","False"
"archer e slinger head bronze","False"
"archer e slinger head copper","False"
"archer e slinger head iron","False"
"archer e slinger iron","False"
"archer e slinger map","False"
"archer g peltast bronze","False"
"archer g peltast cape bronze","False"
"archer g peltast cape copper","False"
"archer g peltast cape iron","False"
"archer g peltast copper","False"
"archer g peltast head bronze","False"
"archer g peltast head copper","False"
"archer g peltast head iron","False"
"archer g peltast iron","False"
"archer g peltast low bronze","False"
"archer g peltast low copper","False"
"archer g peltast low iron","False"
"archer g peltast low standard","False"
"archer g toxotes bronze","False"
"archer g toxotes copper","False"
"archer g toxotes head standard","False"
"archer n normal bronze","False"
"archer n normal copper","False"
"archer n normal head bronze","False"
"archer n normal head copper","False"
"archer n normal head iron","False"
"archer n normal iron","False"
"archer n throwing axeman bronze","False"
"archer n throwing axeman copper","False"
"archer n throwing axeman iron","False"
"archer n throwing axeman low bronze","False"
"archer n throwing axeman low copper","False"
"archer n throwing axeman low iron","False"
"archer n throwing axeman low standard","False"
"archer x bronze","False"
"archer x copper","False"
"archer x hero","False"
"archer x standard","False"
"athenamap","False"
"attachment c halberd head bronze","False"
"attachment c halberd head copper","False"
"attachment c halberd head iron","False"
"attachment c halberd head standard","False"
"attachments a axe map","False"
"attachments a club","False"
"attachments a shovel","False"
"attachments a skeleton","False"
"attachments a sling","False"
"attachments c fire lance","False"
"attachments c halberd bronze","False"
"attachments c halberd copper","False"
"attachments c halberd iron","False"
"attachments c halberd standard","False"
"attachments c sword jiaolong","False"
"attachments e shield bronze","False"
"attachments e shield iron","False"
"attachments g polyphemus club","False"
"attachments g shield bronze","False"
"attachments g shield iron","False"
"attachments n shield bronze","False"
"attachments n shield cinepirateship map","False"
"attachments x shield champion","False"
"attachments x shield heavy","False"
"attachments x shield hero","False"
"background chinese opaque","False"
"background egypt opaque","False"
"background fade blue","False"
"background fade green","False"
"background fade red","False"
"background fade yellow","False"
"background greek opaque","False"
"background norse opaque","False"
"building c props","False"
"building c roofage2","False"
"building c roofage3","False"
"building c roofage4","False"
"building c titan gate rocks","False"
"building c tower age3","False"
"building c tower age4","False"
"building c wallsage2","False"
"building c wallsage3","False"
"building c wallsage4","False"
"building c wonder city floor","False"
"building c wonder palace floor","False"
"building e age2 accessories burnt","False"
"building e age2 burnt","False"
"building e age3 accessories","False"
"building e age3a accessories","False"
"building e age4 accessories","False"
"building e age4roof","False"
"building e fortress","False"
"building e fortress accessories02","False"
"building e isis wonder03","False"
"building e monument1","False"
"building e monument2","False"
"building e monument3","False"
"building e monument4","False"
"building e ra wonder01","False"
"building e set wonder01","False"
"building e set wonder03","False"
"building e shared01 2 map","False"
"building e shared01 3 map","False"
"building e shrine","False"
"building e titan gate rocks","False"
"building e wonder accessories","False"
"building g fortress","False"
"building g fortressroof","False"
"building g fortresswall2","False"
"building g temple statues map","False"
"building g titan gate map","False"
"building g titan gate rocks","False"
"building g wonder destructed","False"
"building n shared03 2 map","False"
"building n temple","False"
"building n thorarmory1","False"
"building n titan gate rocks","False"
"building x sky temple roof","False"
"building x tower watch4","False"
"butterfly","False"
"cavalry c cataphract bronze","False"
"cavalry c cataphract copper","False"
"cavalry c cataphract head bronze","False"
"cavalry c cataphract horse bronze","False"
"cavalry c cataphract horse copper","False"
"cavalry c cataphract horse iron","False"
"cavalry c cataphract iron","False"
"cavalry c chariot bronze","False"
"cavalry c chariot copper","False"
"cavalry c chariot horse bronze","False"
"cavalry c chariot horse iron","False"
"cavalry c chariot iron","False"
"cavalry c charioteer bronze","False"
"cavalry c charioteer iron","False"
"cavalry c scout bronze","False"
"cavalry c scout copper","False"
"cavalry c scout head bronze","False"
"cavalry c scout head iron","False"
"cavalry c scout horse bronze","False"
"cavalry c scout horse copper","False"
"cavalry c scout horse iron","False"
"cavalry c scout iron","False"
"cavalry e camelry bronze","False"
"cavalry e camelry camel bronze","False"
"cavalry e camelry camel iron","False"
"cavalry e camelry camel standard","False"
"cavalry e camelry iron","False"
"cavalry e camelry map","False"
"cavalry e camelry standard","False"
"cavalry e chariot archer bronze","False"
"cavalry e chariot archer iron","False"
"cavalry e war elephant basket bronze","False"
"cavalry e war elephant basket copper","False"
"cavalry e war elephant basket iron","False"
"cavalry e war elephant basket standard","False"
"cavalry e war elephant bronze","False"
"cavalry e war elephant iron","False"
"cavalry e war elephant rider bronze","False"
"cavalry e war elephant rider copper","False"
"cavalry e war elephant rider iron","False"
"cavalry e war elephant rider standard","False"
"cavalry g hetairoi bronze","False"
"cavalry g hetairoi copper","False"
"cavalry g hetairoi head iron","False"
"cavalry g hippikon bronze","False"
"cavalry g hippikon copper","False"
"cavalry g hippikon horse bronze","False"
"cavalry g hippikon horse copper","False"
"cavalry g hippikon horse iron","False"
"cavalry g hippikon iron","False"
"cavalry g prodromos bronze","False"
"cavalry g prodromos copper","False"
"cavalry g prodromos horse bronze","False"
"cavalry g prodromos horse copper","False"
"cavalry g prodromos horse iron","False"
"cavalry g prodromos iron","False"
"cavalry n jarl bronze","False"
"cavalry n jarl copper","False"
"cavalry n jarl horse bronze","False"
"cavalry n jarl horse copper","False"
"cavalry n jarl horse iron","False"
"cavalry n jarl iron","False"
"cavalry n raiding cavalry bronze","False"
"cavalry n raiding cavalry copper","False"
"cavalry n raiding cavalry horse bronze","False"
"cavalry n raiding cavalry horse copper","False"
"cavalry n raiding cavalry horse iron","False"
"cavalry n raiding cavalry iron","False"
"cavalry x javelin horse bronze","False"
"cavalry x javelin horse copper","False"
"cavalry x javelin horse hero","False"
"cavalry x javelin horse standard","False"
"cavalry x javelin standard","False"
"cavalry x lancer bronze","False"
"cavalry x lancer copper","False"
"cavalry x lancer horse bronze","False"
"cavalry x lancer horse copper","False"
"cavalry x lancer horse hero","False"
"cavalry x lancer horse standard","False"
"cavalry x lancer standard","False"
"cine a arkantosman map","False"
"cine a brokk map","False"
"cine a eitri map","False"
"cine a jarl helmet map","False"
"cine a jarl horse map","False"
"cine a jarl map","False"
"cine a kemsyt head bag","False"
"cine a skult map","False"
"cine c danzhu","False"
"cine c emperor","False"
"cine c jiaolong","False"
"cine c shun","False"
"cine c shun shoulder","False"
"cine c shun spear","False"
"cine c zhi","False"
"cine e axeman","False"
"cine e infantry map","False"
"cine e setna","False"
"cine g ajax old map","False"
"cine g amanra map","False"
"cine g amanra old map","False"
"cine g chiron map","False"
"cine g hoplite shield","False"
"cine g kastor map","False"
"cine g old man map","False"
"cine n hersir","False"
"cine n huskarl cape","False"
"cine n reginleif map","False"
"cine n reginleif weapons map","False"
"cine n ulfsark","False"
"cine spear map","False"
"cine x hp arcusmap","False"
"cine x hp arcusweaponsmap","False"
"cine x hp automatonmap","False"
"cine x hp fanaticmap","False"
"cine x hp melagiusmap","False"
"cine x mp melagius head","False"
"cine x trident soldier","False"
"cine x trident soldier cape","False"
"cine x trident soldier helmet","False"
"cine x trident soldier shield","False"
"cinematic naval g trireme","False"
"command time shift icons 32","False"
"cyclops high","False"
"g hypaspist highmodelmap","False"
"greekheromap","False"
"hero c general flag alpha","False"
"hero g athena head low map","False"
"hero g athena low map","False"
"hero g bellerophon shield","False"
"hero g chiron","False"
"hero g chiron shield","False"
