"Texture","MaterialReferences","ColorTransforms","PixelXForms","HasCT4","HasPixelXForm"
"animal caribou map","44","0","0","False","False"
"animal duck map","4","0","0","False","False"
"animal fish anchovy","4","0","0","False","False"
"animal fish herring","3","0","0","False","False"
"animal fish mahi","5","0","0","False","False"
"animal fish perch","4","0","0","False","False"
"animal fish salmon","4","0","0","False","False"
"animal lizard map","6","0","0","False","False"
"animal prmonkey","5","0","0","False","False"
"animal rooster","6","0","0","False","False"
"animal tiger map","7","0","0","False","False"
"archer c crossbowman bowstring","7","0","0","False","False"
"archer g toxotes head standard","3","0","0","False","False"
"archer x bronze","1","0","0","False","False"
"archer x copper","1","0","0","False","False"
"archer x hero","1","0","0","False","False"
"archer x standard","1","0","0","False","False"
"attachment c halberd head bronze","1","0","0","False","False"
"attachment c halberd head copper","1","0","0","False","False"
"attachment c halberd head iron","1","0","0","False","False"
"attachments a axe map","9","0","0","False","False"
"attachments a club","30","0","0","False","False"
"attachments a shovel","5","0","0","False","False"
"attachments a sling","1","0","0","False","False"
"attachments c fire lance","3","0","0","False","False"
"attachments c halberd bronze","1","0","0","False","False"
"attachments c halberd copper","1","0","0","False","False"
"attachments c halberd iron","1","0","0","False","False"
"attachments c halberd standard","2","0","0","False","False"
"attachments c sword jiaolong","1","0","0","False","False"
"attachments e shield iron","2","0","0","False","False"
"attachments g polyphemus club","24","0","0","False","False"
"attachments g shield bronze","28","0","0","False","False"
"attachments g shield iron","1","0","0","False","False"
"attachments n shield bronze","2","0","0","False","False"
"building c titan gate rocks","3","0","0","False","False"
"building c wonder city floor","2","0","0","False","False"
"building c wonder palace floor","2","0","0","False","False"
"building e age2 accessories burnt","2","0","0","False","False"
"building e age2 burnt","2","0","0","False","False"
"building e age3 accessories","119","0","0","False","False"
"building e age3a accessories","43","0","0","False","False"
"building e age4 accessories","21","0","0","False","False"
"building e age4roof","57","0","0","False","False"
"building e fortress","6","0","0","False","False"
"building e fortress accessories02","2","0","0","False","False"
"building e isis wonder03","3","0","0","False","False"
"building e monument1","4","0","0","False","False"
"building e monument2","3","0","0","False","False"
"building e monument3","4","0","0","False","False"
"building e monument4","4","0","0","False","False"
"building e ra wonder01","5","0","0","False","False"
"building e set wonder01","4","0","0","False","False"
"building e set wonder03","4","0","0","False","False"
"building e shared01 2 map","1","0","0","False","False"
"building e shrine","39","0","0","False","False"
"building e wonder accessories","2","0","0","False","False"
"building g fortress","4","0","0","False","False"
"building g fortressroof","6","0","0","False","False"
"building g fortresswall2","8","0","0","False","False"
"building g titan gate map","6","0","0","False","False"
"building g titan gate rocks","3","0","0","False","False"
"building g wonder destructed","1","0","0","False","False"
"building n shared03 2 map","15","0","0","False","False"
"building n thorarmory1","6","0","0","False","False"
"building n titan gate rocks","3","0","0","False","False"
"building x sky temple roof","4","0","0","False","False"
"butterfly","2","0","0","False","False"
"cavalry g hetairoi head iron","9","0","0","False","False"
"cavalry x javelin standard","1","0","0","False","False"
"cavalry x lancer bronze","1","0","0","False","False"
"cavalry x lancer copper","1","0","0","False","False"
"cavalry x lancer standard","1","0","0","False","False"
"cine spear map","9","0","0","False","False"
"cine x mp melagius head","23","0","0","False","False"
"hero g athena head low map","7","0","0","False","False"
"hero g athena low map","14","0,1","0","False","False"
"hero g heracles head","36","0","0","False","False"
"hero n hersir","2","0,6","0","False","False"
"hero n ragnorok female head","10","0","0","False","False"
"hero n ragnorok male head","19","0","0","False","False"
"infantry e mercenary head","16","0","0","False","False"
"infantry e spearman shield map","5","0","0","False","False"
"infantry g hypaspist head bronze","1","0","0","False","False"
"infantry g hypaspist head copper","1","0","0","False","False"
"infantry g hypaspist head standard","2","0","0","False","False"
"infantry x maceman bronze","1","0","0","False","False"
"infantry x maceman copper","1","0","0","False","False"
"infantry x maceman hero","1","0","0","False","False"
