RelativePath,Category,SourceType,SourceWidth,SourceHeight,SourceArea,OutputWidth,OutputHeight,OutputArea,OutputMegapixels,OutputMaxDimension,BTIFormat,BTIAlphaBits,NoAlphaTest,NoMip,Clamp,BTIBOM,AlphaBand,AlphaCoveragePercent,AlphaValueCount,MTRLTotal,MTRLCT0,MTRLCT4,PBRifyFound,DDTFound,DDTBytes,DDTNonEmpty,Large1024Plus,Large2048Plus,Large4096Plus,Square1024Output,BC1Large,BC1Square1024,CanonicalFamily,EstimatedRGBABytes,OutputExactly4x
dlc-frontend\textures\ui\screen shot a_01.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_02.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_03.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_04.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_05.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_06.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_07.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_08.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_09.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_10.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_11.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\screen shot a_12.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\ui background opaque 1.tga,Unknown,NormalExtraction,32,32,1024,128,128,16384,0.0164,128,DEFLATEDRGBA8,1,False,False,False,False,,100.0,1,0,0,0,True,True,10272,True,False,False,False,False,False,False,DEFLATED,65536,True
dlc-frontend\textures\ui\ui background opaque 2.tga,Unknown,NormalExtraction,32,32,1024,128,128,16384,0.0164,128,DEFLATEDRGBA8,1,False,False,False,False,,100.0,1,0,0,0,True,True,10272,True,False,False,False,False,False,False,DEFLATED,65536,True
