"RelativeTGA","OriginalDDT","DDTMagic","DDTSizeBytes","DDTWidth","DDTHeight","TGAWidth","TGAHeight","TGAType","TGABitsPerPixel","TGAAlphaBits","TGASizeBytes","PixelCount","PixelStreamValid","PixelReason","BTIExists","BTISizeBytes","DimensionsMatch","Status"
"textures\animal dog a map.tga","textures\animal dog a map.DDT","RTS3","5512","64","64","64","64","10","32","8","12898","4096","True","Valid pixel stream","True","30","True","OK"
"textures\animal dog b map.tga","textures\animal dog b map.DDT","RTS3","5512","64","64","64","64","10","32","8","12818","4096","True","Valid pixel stream","True","30","True","OK"
"textures\animal elephant indian.tga","textures\animal elephant indian.DDT","RTS3","11016","128","128","128","128","10","32","8","50763","16384","True","Valid pixel stream","True","18","True","OK"
"textures\animal parrot map.tga","textures\animal parrot map.DDT","RTS3","3502","64","64","64","64","10","32","8","11053","4096","True","Valid pixel stream","True","18","True","OK"
"textures\archer c crossbow.tga","textures\archer c crossbow.DDT","RTS3","5512","64","64","64","64","10","32","8","11603","4096","True","Valid pixel stream","True","30","True","OK"
"textures\icons\boat c fire ship chinese icon.tga","textures\icons\boat c fire ship chinese icon.DDT","RTS3","12192","64","64","64","64","10","32","8","19648","4096","True","Valid pixel stream","True","34","True","OK"
"textures\icons\boat c fishing boat icon.tga","textures\icons\boat c fishing boat icon.DDT","RTS3","12320","64","64","64","64","10","32","8","19843","4096","True","Valid pixel stream","True","34","True","OK"
"textures\icons\boat c junk icon.tga","textures\icons\boat c junk icon.DDT","RTS3","12655","64","64","64","64","10","32","8","19833","4096","True","Valid pixel stream","True","34","True","OK"
"textures\icons\boat c siege ship chinese icon.tga","textures\icons\boat c siege ship chinese icon.DDT","RTS3","12688","64","64","64","64","10","32","8","19933","4096","True","Valid pixel stream","True","34","True","OK"
"textures\icons\boat c transport icon.tga","textures\icons\boat c transport icon.DDT","RTS3","12607","64","64","64","64","10","32","8","19978","4096","True","Valid pixel stream","True","34","True","OK"
"textures\icons\god power barrage icon.tga","textures\icons\god power barrage icon.DDT","RTS3","5860","64","64","64","64","10","32","8","12873","4096","True","Valid pixel stream","True","34","True","OK"
