"RelativePath","Extension","SizeBytes","Status"
"textures\animal dog a map.bti",".bti","30","Recovered via AoM File Converter 1.4.0"
"textures\animal dog a map.tga",".tga","12898","Recovered via AoM File Converter 1.4.0"
"textures\animal dog b map.bti",".bti","30","Recovered via AoM File Converter 1.4.0"
"textures\animal dog b map.tga",".tga","12818","Recovered via AoM File Converter 1.4.0"
"textures\animal elephant indian.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\animal elephant indian.tga",".tga","50763","Recovered via AoM File Converter 1.4.0"
"textures\animal parrot map.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\animal parrot map.tga",".tga","11053","Recovered via AoM File Converter 1.4.0"
"textures\archer c crossbow.bti",".bti","30","Recovered via AoM File Converter 1.4.0"
"textures\archer c crossbow.tga",".tga","11603","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c fire ship chinese icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c fire ship chinese icon.tga",".tga","19648","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c fishing boat icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c fishing boat icon.tga",".tga","19843","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c junk icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c junk icon.tga",".tga","19833","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c siege ship chinese icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c siege ship chinese icon.tga",".tga","19933","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c transport icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\boat c transport icon.tga",".tga","19978","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power barrage icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power barrage icon.tga",".tga","12873","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power earth dragon icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power earth dragon icon.tga",".tga","10798","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power flood icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power flood icon.tga",".tga","17088","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power geyser icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power geyser icon.tga",".tga","12308","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power journey icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power journey icon.tga",".tga","55333","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power recreation icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\god power recreation icon.tga",".tga","7418","Recovered via AoM File Converter 1.4.0"
"textures\icons\siege c fire lance icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\siege c fire lance icon.tga",".tga","8488","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c azure dragon icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c azure dragon icon.tga",".tga","7883","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c black tortoise icon.bti",".bti","24","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c black tortoise icon.tga",".tga","3778","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c earth dragon icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c earth dragon icon.tga",".tga","10798","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c jiangshi icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c jiangshi icon.tga",".tga","10258","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c monkey king icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c monkey king icon.tga",".tga","13503","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c pixiu icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c pixiu icon.tga",".tga","13323","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c qilin icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c qilin icon.tga",".tga","10723","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c terracotta soldier icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c terracotta soldier icon.tga",".tga","11573","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c vermilion bird icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c vermilion bird icon.tga",".tga","8783","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c war salamander icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c war salamander icon.tga",".tga","20398","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c white tiger icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\special c white tiger icon.tga",".tga","12933","Recovered via AoM File Converter 1.4.0"
"textures\icons\trade c caravan icon.bti",".bti","34","Recovered via AoM File Converter 1.4.0"
"textures\icons\trade c caravan icon.tga",".tga","13618","Recovered via AoM File Converter 1.4.0"
"textures\special c qilin.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\special c qilin.tga",".tga","75363","Recovered via AoM File Converter 1.4.0"
"textures\special g griffon map.bti",".bti","27","Recovered via TextureExtractor after 08->09 patch"
"textures\special g griffon map.tga",".tga","65554","Recovered via TextureExtractor after 08->09 patch"
"textures\world c jungle palm burnt.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle palm burnt.tga",".tga","225308","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle palm.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle palm.tga",".tga","93223","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle tree burnt.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle tree burnt.tga",".tga","243018","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle tree.bti",".bti","18","Recovered via AoM File Converter 1.4.0"
"textures\world c jungle tree.tga",".tga","253993","Recovered via AoM File Converter 1.4.0"
