relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
dlc-frontend/textures/ui/screen shot a_01.tga,256,256,1024,1024,True,True,True,71e8766230f7b94c72511a95f47b8bfb269efcce0c3406d50f506d08ff38b2b4,6c24c638ee0179294e554e3956538eb13bfc2b7d09a73861f2673cc6ed80ebaf,
dlc-frontend/textures/ui/screen shot a_02.tga,256,256,1024,1024,True,True,True,42cb0e10a01619d259a46054943c9d562efa0f2d72178ecd74e4eab2b721a343,fa0413682b2bb26556817a1f74962db3231ba98750a7f19ff2ba182f88d1dd61,
dlc-frontend/textures/ui/screen shot a_03.tga,256,256,1024,1024,True,True,True,b7a6faeaca6288cfc499db0188c396e31a3ba9f0941e0c951f931b0ab20e716d,4453cad19934fb9746e81e607ed52ba1326bd2ab6b8d9a5904dba25ff9de88ae,
dlc-frontend/textures/ui/screen shot a_04.tga,256,256,1024,1024,True,True,True,f998462a5eb97ece2c6b9ebbaaa6cd58f81f34a69a1c0ca0d56bc3d403c942d8,a2c738ae3b8c0e5bd0721c08a5fa33c4400959293619e40105ba9c32a9f095ff,
dlc-frontend/textures/ui/screen shot a_05.tga,256,256,1024,1024,True,True,True,d95e2bded789407098c617c7ec796ff429661ddf760f4a33ce68b961c059caa3,ab8070c3b3a69957bd7257311bdf0fce17e7aef66af47b75c8526f525c07e99e,
dlc-frontend/textures/ui/screen shot a_06.tga,256,256,1024,1024,True,True,True,68480afe7e91dc90c9891c59ef88d921649799d7d6dcff2f2880c7d68f7145f8,905ae3bff3dad40946fc478fd00f53209d629161de4a306666f45b30af538d12,
dlc-frontend/textures/ui/screen shot a_07.tga,256,256,1024,1024,True,True,True,5aee57b7e515b56be383168e19df22c469888ed9f092979dbcfa254a4e1f4053,d2653f69af95cc72e09e1bd0f02e795cf392463b6f6efa407df47d7768084a4a,
dlc-frontend/textures/ui/screen shot a_08.tga,256,256,1024,1024,True,True,True,96a5b893506d56aad792122a6f9795e335d6243e9a6c2461e515d223d40e1315,bd9574807820d4d5b8d40ab22d2aa384a193d8a92a318124faa0818596bef3e8,
dlc-frontend/textures/ui/screen shot a_09.tga,256,256,1024,1024,True,True,True,4e6515619d5db936dda068f36bf007f5502a008d72108f66d56295f5aa15837e,210eaa2e852bd09427ce7156ea8f5b6361a69c4b70cb701b4290f58cf32b8fd7,
dlc-frontend/textures/ui/screen shot a_10.tga,256,256,1024,1024,True,True,True,7107eb3d67bc24b85fe7aa22d1f12e08d638788a60446cac21388d0b8f88ada2,ad4bcadd702740d4fe0b57e42c31f0038ec5fca38cd95b0f591817bbbfb026f9,
dlc-frontend/textures/ui/screen shot a_11.tga,256,256,1024,1024,True,True,True,a90770fc6501389a30697bdea955396eccaa8b50b0bb9f2a38c6ece74fc93222,2b3643fc3d7d5c4805461f579ebc374e3f1a0d5551737a138e8720266750c194,
dlc-frontend/textures/ui/screen shot a_12.tga,256,256,1024,1024,True,True,True,3a9d0b9450c4f7dd4a2531636586fc4899252308c221e83f8fb7b6b4a934e910,428cf388436999b3f54630d88b287dd794bb62f3b4a42e9c3c7cb11484b18a54,
dlc-frontend/textures/ui/ui background opaque 1.tga,32,32,128,128,True,True,True,35fff717c5b9a185a58434f8e151a44f06067d4813fb32ba8176b5fb7022d5b7,3bae9763a7b52b74732963f37d8c4309bf9a432d90b23958b08002d52357f08c,
dlc-frontend/textures/ui/ui background opaque 2.tga,32,32,128,128,True,True,True,186a360a6b0506f5491ce5123921d2393ef7756cb8fa6830d4dc415236e96658,66e9f44cb8aa30ae7a450d0ab3a66bc18a4c38b9e5eeb200f275f18d58f5a3fa,
dlc-frontend/textures/ui/ui background opaque 3.tga,32,32,128,128,True,True,True,290a0e6cd6079ee59e40be8606c399aedebdea40ffea13431958ea927cb67acc,317eb1f55a8166538cd4fd55b1b9fd27d79f5bcb9fcbb6f945e6359178359f03,
dlc-frontend/textures/ui/ui border bottom left corner.tga,64,128,256,512,True,True,True,2f83a2fae8bfd755ef013fb597f857ddf834a4352e2d78e618231a6f4a9012b3,331489d19dba314f0883df689f85f0279bf51b232de3fb4c72dcb053b0df2a78,
dlc-frontend/textures/ui/ui border bottom middle.tga,128,32,512,128,True,True,True,e29115444952267573c4ed72e0e8df7e0940ecf2bda1be81a1e383765aedcc6f,fc9b0766236a2962106b4dfaaa14a3e9cdec1d45fa0ea51435d91cd546348612,
dlc-frontend/textures/ui/ui border bottom right corner.tga,64,128,256,512,True,True,True,a6e7c5c37df9e9067d488f6e20b851b766d854e7df29efe95c2fa89d4ce8bba1,1fe3c22f9549ccfab4dadf7b274f5152d2bd59eda90418010ed5dc5d042d3930,
dlc-frontend/textures/ui/ui border left middle.tga,64,256,256,1024,True,True,True,46df4cb49de981210cddc4eb690b3be2d39783241aa4af5c54974480cbc7e2a8,c051d857601e9219bf30499a2d5d389c07a8ecc93612aa34601700281741acef,
