"BTIFile","Filename","Line"
"D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui text chat box.bti","ui text chat box","alpha=0 noalphatest fmt=DeflatedRGBA8"
"D:\AI_upscaling\AoMEE\extracted\textures\agamemnon map.bti","agamemnon map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal caribou map.bti","animal caribou map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal chicken.bti","animal chicken","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal cow a map.bti","animal cow a map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal cow b map.bti","animal cow b map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal cow c map.bti","animal cow c map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal duck map.bti","animal duck map","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal fish anchovy.bti","animal fish anchovy","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal fish herring.bti","animal fish herring","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal fish mahi.bti","animal fish mahi","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal fish perch.bti","animal fish perch","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal fish salmon.bti","animal fish salmon","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal flying purple hippo.bti","animal flying purple hippo","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal goat map.bti","animal goat map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal goatnubian map.bti","animal goatnubian map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal lizard map.bti","animal lizard map","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal pig map.bti","animal pig map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal prmonkey.bti","animal prmonkey","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal rooster.bti","animal rooster","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal tiger map.bti","animal tiger map","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal white tiger map.bti","animal white tiger map","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\Animal William Walrus Map.bti","Animal William Walrus Map","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\animal yak.bti","animal yak","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman bowstring.bti","archer c crossbowman bowstring","alpha=1 noalphatest fmt=BC2"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman bronze.bti","archer c crossbowman bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman copper.bti","archer c crossbowman copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head bronze.bti","archer c crossbowman head bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head copper.bti","archer c crossbowman head copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head iron.bti","archer c crossbowman head iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head standard.bti","archer c crossbowman head standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman iron.bti","archer c crossbowman iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman standard.bti","archer c crossbowman standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer bronze.bti","archer c mounted archer bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer copper.bti","archer c mounted archer copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head bronze.bti","archer c mounted archer head bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head copper.bti","archer c mounted archer head copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head iron.bti","archer c mounted archer head iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head standard.bti","archer c mounted archer head standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse bronze.bti","archer c mounted archer horse bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse copper.bti","archer c mounted archer horse copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse iron.bti","archer c mounted archer horse iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse standard.bti","archer c mounted archer horse standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer iron.bti","archer c mounted archer iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer standard.bti","archer c mounted archer standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger bronze.bti","archer e slinger bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger copper.bti","archer e slinger copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger head bronze.bti","archer e slinger head bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger head copper.bti","archer e slinger head copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger head iron.bti","archer e slinger head iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger head standard.bti","archer e slinger head standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger iron.bti","archer e slinger iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger map.bti","archer e slinger map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger standard.bti","archer e slinger standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g crossbowman.bti","archer g crossbowman","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast bronze.bti","archer g peltast bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape bronze.bti","archer g peltast cape bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape copper.bti","archer g peltast cape copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape iron.bti","archer g peltast cape iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape standard.bti","archer g peltast cape standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast copper.bti","archer g peltast copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast head bronze.bti","archer g peltast head bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast head copper.bti","archer g peltast head copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast head iron.bti","archer g peltast head iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast head standard.bti","archer g peltast head standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast iron.bti","archer g peltast iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast low bronze.bti","archer g peltast low bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast low copper.bti","archer g peltast low copper","alpha=1 noalphatest fmt=BC3"
