"Category","Filename","Path","Width","Height","AlphaValueCount","TransparentPixels","PartialAlphaPixels","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","MapNamed","Variant"
"Animal","animal goatnubian map.tga","textures\animal goatnubian map.tga","64","64","2","4022","0","74","1.807","1.807",,
"Animal","animal cow a map.tga","textures\animal cow a map.tga","128","128","2","15944","0","440","2.686","2.686",,
"Animal","animal cow b map.tga","textures\animal cow b map.tga","128","128","2","15944","0","440","2.686","2.686",,
"Animal","animal cow c map.tga","textures\animal cow c map.tga","128","128","2","15944","0","440","2.686","2.686",,
"Building","building e outpost.tga","textures\building e outpost.tga","256","256","2","65364","0","172","0.262","0.262",,
"Building","building g shrine.tga","textures\building g shrine.tga","256","256","2","65328","0","208","0.317","0.317",,
"Building","oranos wonder map.tga","textures\oranos wonder map.tga","256","256","2","65276","0","260","0.397","0.397",,
"Building","building g roofage1.tga","textures\building g roofage1.tga","256","256","2","65266","0","270","0.412","0.412",,
"Building","building x titangate.tga","textures\building x titangate.tga","256","256","2","65264","0","272","0.415","0.415",,
"Building","building x palace age2.tga","textures\building x palace age2.tga","256","256","2","65152","0","384","0.586","0.586",,
"Building","building n thorarmory.tga","textures\building n thorarmory.tga","256","256","2","64972","0","564","0.861","0.861",,
"Building","building c wonder temple.tga","textures\building c wonder temple.tga","256","256","2","64964","0","572","0.873","0.873",,
"Building","building g fortress.tga","textures\building g fortress.tga","256","256","2","64888","0","648","0.989","0.989",,
"Building","building x wall iron.tga","textures\building x wall iron.tga","256","256","2","64671","0","865","1.32","1.32",,
"Building","building x roof age0.tga","textures\building x roof age0.tga","256","256","2","64668","0","868","1.324","1.324",,
"Building","building x wall stone.tga","textures\building x wall stone.tga","256","256","2","64660","0","876","1.337","1.337",,
"Building","building n templeage1.tga","textures\building n templeage1.tga","256","256","2","64657","0","879","1.341","1.341",,
"Building","building n templeage2.tga","textures\building n templeage2.tga","256","256","2","64657","0","879","1.341","1.341",,
"Building","building n templeage3.tga","textures\building n templeage3.tga","256","256","2","64657","0","879","1.341","1.341",,
"Building","building n shared06 2 map.tga","textures\building n shared06 2 map.tga","256","256","2","64638","0","898","1.37","1.37",,
"Building","building g age0.tga","textures\building g age0.tga","256","256","2","64613","0","923","1.408","1.408",,
"Building","building x tower watch4.tga","textures\building x tower watch4.tga","256","256","2","64612","0","924","1.41","1.41",,
"Building","building g settlementage1.tga","textures\building g settlementage1.tga","256","256","2","64603","0","933","1.424","1.424",,
"Building","building g settlementage3.tga","textures\building g settlementage3.tga","256","256","2","64603","0","933","1.424","1.424",,
"Building","building x wall bronze.tga","textures\building x wall bronze.tga","256","256","2","64600","0","936","1.428","1.428",,
"Building","building n settlementage1.tga","textures\building n settlementage1.tga","256","256","2","64596","0","940","1.434","1.434",,
"Building","building n settlementage2.tga","textures\building n settlementage2.tga","256","256","2","64586","0","950","1.45","1.45",,
"Building","building g templeage2.tga","textures\building g templeage2.tga","256","256","2","64567","0","969","1.479","1.479",,
"Building","building g templeage1.tga","textures\building g templeage1.tga","256","256","2","64543","0","993","1.515","1.515",,
"Building","building x tower watch2.tga","textures\building x tower watch2.tga","256","256","2","64542","0","994","1.517","1.517",,
"Building","building x tower watch3.tga","textures\building x tower watch3.tga","256","256","2","64542","0","994","1.517","1.517",,
"Building","building e age2 accessories burnt.tga","textures\building e age2 accessories burnt.tga","256","256","2","64536","0","1000","1.526","1.526",,
"Building","building_e_monumentbase_map.tga","textures\building_e_monumentbase_map.tga","256","256","2","64512","0","1024","1.562","1.562",,
"Building","building e lighthouse.tga","textures\building e lighthouse.tga","256","256","2","64491","0","1045","1.595","1.595",,
"Building","building g wonder.tga","textures\building g wonder.tga","256","256","2","64489","0","1047","1.598","1.598",,
"Building","building e age3 accessories.tga","textures\building e age3 accessories.tga","256","256","2","64478","0","1058","1.614","1.614",,
"Building","building e shared02 2 map.tga","textures\building e shared02 2 map.tga","256","256","2","64478","0","1058","1.614","1.614",,
"Building","building n settlementage3.tga","textures\building n settlementage3.tga","256","256","2","64460","0","1076","1.642","1.642",,
"Building","building g settlementage2.tga","textures\building g settlementage2.tga","256","256","2","64458","0","1078","1.645","1.645",,
"Building","building x palace age3.tga","textures\building x palace age3.tga","256","256","2","64436","0","1100","1.678","1.678",,
"Building","building n shared01 1 map.tga","textures\building n shared01 1 map.tga","256","256","2","64423","0","1113","1.698","1.698",,
"Building","building g towers.tga","textures\building g towers.tga","256","256","2","64414","0","1122","1.712","1.712",,
"Building","building g fortifiedwall.tga","textures\building g fortifiedwall.tga","256","256","2","64354","0","1182","1.804","1.804",,
"Building","building x wall age3.tga","textures\building x wall age3.tga","256","256","2","64330","0","1206","1.84","1.84",,
"Building","building e wall4.tga","textures\building e wall4.tga","256","256","2","64296","0","1240","1.892","1.892",,
"Building","building c earthen wall.tga","textures\building c earthen wall.tga","256","256","2","64284","0","1252","1.91","1.91",,
"Building","building c fortified wall.tga","textures\building c fortified wall.tga","256","256","2","64284","0","1252","1.91","1.91",,
"Building","building c great wall.tga","textures\building c great wall.tga","256","256","2","64284","0","1252","1.91","1.91",,
"Building","building c stone wall.tga","textures\building c stone wall.tga","256","256","2","64284","0","1252","1.91","1.91",,
"Building","oranos wonder map1.tga","textures\oranos wonder map1.tga","256","256","2","64256","0","1280","1.953","1.953",,
"Building","building g temple.tga","textures\building g temple.tga","256","256","2","64228","0","1308","1.996","1.996",,
"Building","building n shared01 3 map.tga","textures\building n shared01 3 map.tga","256","256","2","64228","0","1308","1.996","1.996",,
"Building","building e isis wonder02.tga","textures\building e isis wonder02.tga","256","256","2","64199","0","1337","2.04","2.04",,
"Building","building e isis wonder01.tga","textures\building e isis wonder01.tga","256","256","2","64192","0","1344","2.051","2.051",,
"Building","building x roof age1.tga","textures\building x roof age1.tga","256","256","2","64172","0","1364","2.081","2.081",,
"Building","building c tower age2.tga","textures\building c tower age2.tga","256","256","2","64164","0","1372","2.094","2.094",,
"Building","building c tower age3.tga","textures\building c tower age3.tga","256","256","2","64164","0","1372","2.094","2.094",,
"Building","building c tower age4.tga","textures\building c tower age4.tga","256","256","2","64164","0","1372","2.094","2.094",,
"Building","building e ra wonder02.tga","textures\building e ra wonder02.tga","256","256","2","64162","0","1374","2.097","2.097",,
"Building","building e set wonder02.tga","textures\building e set wonder02.tga","256","256","2","64132","0","1404","2.142","2.142",,
"Building","building e monument platforms.tga","textures\building e monument platforms.tga","256","256","2","64061","0","1475","2.251","2.251",,
"Building","building x wall oreichalkos.tga","textures\building x wall oreichalkos.tga","256","256","2","64040","0","1496","2.283","2.283",,
"Building","kronos wonder map2.tga","textures\kronos wonder map2.tga","256","256","2","64026","0","1510","2.304","2.304",,
"Building","building g hades wonder.tga","textures\building g hades wonder.tga","256","256","2","64000","0","1536","2.344","2.344",,
"Building","building g wallsage2.tga","textures\building g wallsage2.tga","256","256","2","63940","0","1596","2.435","2.435",,
"Building","building g fortresswall.tga","textures\building g fortresswall.tga","256","256","2","63921","0","1615","2.464","2.464",,
"Building","building g zues wonder01.tga","textures\building g zues wonder01.tga","256","256","2","63723","0","1813","2.766","2.766",,
"Building","building e titan gate map.tga","textures\building e titan gate map.tga","256","256","2","63684","0","1852","2.826","2.826",,
"Building","building e age2 burnt.tga","textures\building e age2 burnt.tga","256","256","2","63524","0","2012","3.07","3.07",,
"Building","building e age2.tga","textures\building e age2.tga","256","256","2","63524","0","2012","3.07","3.07",,
"Building","building e settlement age2.tga","textures\building e settlement age2.tga","256","256","2","63524","0","2012","3.07","3.07",,
"Building","building e shared01 2 map.tga","textures\building e shared01 2 map.tga","256","256","2","63524","0","2012","3.07","3.07",,
"Building","building g wallsage1.tga","textures\building g wallsage1.tga","256","256","2","63475","0","2061","3.145","3.145",,
"Building","building g wallsage3.tga","textures\building g wallsage3.tga","256","256","2","63337","0","2199","3.355","3.355",,
