"Filename","Category","Width","Height","OpaquePixels","OpaqueCoveragePct","AlphaValueCount","BTIFile","BTILine"
"animal cow a map.tga","Animal","128","128","440","2.686","2","D:\AI_upscaling\AoMEE\extracted\textures\animal cow a map.bti","alpha=1 noalphatest fmt=BC3"
"animal cow b map.tga","Animal","128","128","440","2.686","2","D:\AI_upscaling\AoMEE\extracted\textures\animal cow b map.bti","alpha=1 noalphatest fmt=BC3"
"animal cow c map.tga","Animal","128","128","440","2.686","2","D:\AI_upscaling\AoMEE\extracted\textures\animal cow c map.bti","alpha=1 noalphatest fmt=BC3"
"animal goatnubian map.tga","Animal","64","64","74","1.807","2","D:\AI_upscaling\AoMEE\extracted\textures\animal goatnubian map.bti","alpha=1 noalphatest fmt=BC3"
"building c earthen wall.tga","Building","256","256","1252","1.91","2","D:\AI_upscaling\AoMEE\extracted\textures\building c earthen wall.bti","alpha=4 noalphatest fmt=BC3"
"building c fortified wall.tga","Building","256","256","1252","1.91","2","D:\AI_upscaling\AoMEE\extracted\textures\building c fortified wall.bti","alpha=4 noalphatest fmt=BC3"
"building c great wall.tga","Building","256","256","1252","1.91","2","D:\AI_upscaling\AoMEE\extracted\textures\building c great wall.bti","alpha=4 noalphatest fmt=BC3"
"building c stone wall.tga","Building","256","256","1252","1.91","2","D:\AI_upscaling\AoMEE\extracted\textures\building c stone wall.bti","alpha=4 noalphatest fmt=BC3"
"building c tower age2.tga","Building","256","256","1372","2.094","2","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age2.bti","alpha=4 noalphatest fmt=BC3"
"building c tower age3.tga","Building","256","256","1372","2.094","2","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age3.bti","alpha=4 noalphatest fmt=BC3"
"building c tower age4.tga","Building","256","256","1372","2.094","2","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age4.bti","alpha=4 noalphatest fmt=BC3"
"building c wonder temple.tga","Building","256","256","572","0.873","2","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder temple.bti","alpha=4 noalphatest fmt=BC3"
"building e age2 accessories burnt.tga","Building","256","256","1000","1.526","2","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 accessories burnt.bti","alpha=1 noalphatest fmt=BC3"
"building e age2 burnt.tga","Building","256","256","2012","3.07","2","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 burnt.bti","alpha=1 noalphatest fmt=BC3"
"building e age2.tga","Building","256","256","2012","3.07","2","D:\AI_upscaling\AoMEE\extracted\textures\building e age2.bti","alpha=1 noalphatest fmt=BC3"
"building e age3 accessories.tga","Building","256","256","1058","1.614","2","D:\AI_upscaling\AoMEE\extracted\textures\building e age3 accessories.bti","alpha=1 noalphatest fmt=BC3"
"building e age4.tga","Building","256","256","3376","5.151","2","D:\AI_upscaling\AoMEE\extracted\textures\building e age4.bti","alpha=1 noalphatest fmt=BC3"
"building e isis wonder01.tga","Building","256","256","1344","2.051","2","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder01.bti","alpha=1 noalphatest fmt=BC3"
"building e isis wonder02.tga","Building","256","256","1337","2.04","2","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder02.bti","alpha=1 noalphatest fmt=BC3"
"building e lighthouse.tga","Building","256","256","1045","1.595","2","D:\AI_upscaling\AoMEE\extracted\textures\building e lighthouse.bti","alpha=1 noalphatest fmt=BC3"
