"Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"animal chicken.tga","","32","32","0","BC3","Binary","1","100","75-100%"
"animal fish anchovy.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"animal fish herring.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"animal fish mahi.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"animal fish perch.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"animal fish salmon.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"animal rooster.tga","","32","32","0","BC3","Binary","1","100","75-100%"
"attachments a club.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"attachments a skeleton.tga","","64","64","0","BC3","Binary","1","100","75-100%"
"attachments a sling.tga","","64","32","0","BC3","Binary","1","100","75-100%"
"attachments g polyphemus club.tga","","32","32","0","BC3","Binary","1","100","75-100%"
"background chinese opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background egypt opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background fade blue.tga","","256","16","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background fade green.tga","","256","16","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background fade red.tga","","256","16","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background fade yellow.tga","","256","16","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background greek opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"background norse opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"building g temple statues map.tga","","256","256","0","BC3","Binary","1","100","75-100%"
"building g wonder destructed.tga","","256","256","0","BC3","Binary","1","100","75-100%"
"building x sky temple roof.tga","","128","128","0","BC3","Binary","1","100","75-100%"
"projectile a siege rock map.tga","","64","64","0","BC3","Binary","1","100","75-100%"
"scenario a dwarven forge belt.tga","","64","16","0","BC3","Binary","1","100","75-100%"
"scenario a dwarven forge shared a.tga","","256","256","0","BC3","Binary","1","100","75-100%"
"scenario a dwarven forge shared b.tga","","256","256","0","BC3","Binary","1","100","75-100%"
"sfx a ip glow.tga","","128","64","0","BC3","Binary","1","100","75-100%"
"sfx a lighthouse glow.tga","","32","16","0","BC3","Binary","1","100","75-100%"
"sfx a rain sunlight.tga","","32","64","0","BC3","Binary","1","100","75-100%"
"sfx a rainbow.tga","","128","64","0","BC3","Binary","1","100","75-100%"
"sfx b lighthouse glow.tga","","64","64","0","BC3","Binary","1","100","75-100%"
"sfx c ip glow.tga","","128","64","0","BC3","Binary","1","100","75-100%"
"sfx g lightning skyflash.tga","","128","128","0","BC3","Binary","1","100","75-100%"
"sfx n frost ice block unit.tga","","128","128","0","BC3","Binary","1","100","75-100%"
"siege g petrobolos projectile.tga","","32","32","0","BC3","Binary","1","100","75-100%"
"special e phoenix.tga","","64","64","0","BC3","Binary","1","100","75-100%"
"special n frost giant head upgrade.tga","","64","64","0","BC3","Binary","1","100","75-100%"
"special n frost giant head.tga","","64","64","0","BC3","Binary","1","100","75-100%"
"ui background blue opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"ui background dark blue opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"ui background yellow opaque.tga","","8","8","0","DeflatedRGBA8","Binary","1","100","75-100%"
"ui progress bar flair.tga","","32","128","0","DeflatedRGBA8","Binary","1","100","75-100%"
"ui text chat box grey.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"ui text chat box.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"ui text chat box.tga","","32","32","0","DeflatedRGBA8","Binary","1","100","75-100%"
"villager e female head.tga","","32","32","0","BC3","Binary","1","100","75-100%"
