"RelativePath","Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"dlc-frontend\textures\ui\ui text chat box.tga","ui text chat box.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\agamemnon map.tga","agamemnon map.tga",,"256","256","1","BC3",,"3",,
"textures\animal caribou map.tga","animal caribou map.tga",,"64","64","1","BC3",,"1",,
"textures\animal chicken.tga","animal chicken.tga",,"32","32","0","BC3",,"1",,
"textures\animal cow a map.tga","animal cow a map.tga",,"128","128","1","BC3",,"2",,
"textures\animal cow b map.tga","animal cow b map.tga",,"128","128","1","BC3",,"2",,
"textures\animal cow c map.tga","animal cow c map.tga",,"128","128","1","BC3",,"2",,
"textures\animal duck map.tga","animal duck map.tga",,"64","64","4","BC3",,"1",,
"textures\animal fish anchovy.tga","animal fish anchovy.tga",,"32","16","0","BC3",,"1",,
"textures\animal fish herring.tga","animal fish herring.tga",,"32","16","0","BC3",,"1",,
"textures\animal fish mahi.tga","animal fish mahi.tga",,"32","16","0","BC3",,"1",,
"textures\animal fish perch.tga","animal fish perch.tga",,"32","16","0","BC3",,"1",,
"textures\animal fish salmon.tga","animal fish salmon.tga",,"32","16","0","BC3",,"1",,
"textures\animal flying purple hippo.tga","animal flying purple hippo.tga",,"256","128","1","BC3",,"1",,
"textures\animal goat map.tga","animal goat map.tga",,"64","64","1","BC3",,"3",,
"textures\animal goatnubian map.tga","animal goatnubian map.tga",,"64","64","1","BC3",,"2",,
"textures\animal lizard map.tga","animal lizard map.tga",,"64","64","4","BC3",,"1",,
"textures\animal pig map.tga","animal pig map.tga",,"64","64","1","BC3",,"3",,
"textures\animal prmonkey.tga","animal prmonkey.tga",,"128","128","1","BC3",,"1",,
"textures\animal rooster.tga","animal rooster.tga",,"32","32","0","BC3",,"1",,
"textures\animal tiger map.tga","animal tiger map.tga",,"128","128","4","BC3",,"1",,
"textures\animal white tiger map.tga","animal white tiger map.tga",,"128","128","4","BC3",,"12",,
"textures\animal william walrus map.tga","Animal William Walrus Map.tga",,"256","256","4","BC3",,"68",,
"textures\animal yak.tga","animal yak.tga",,"128","128","4","BC3",,"14",,
"textures\archer c crossbowman bowstring.tga","archer c crossbowman bowstring.tga",,"32","4","1","BC2",,"8",,
"textures\archer c crossbowman bronze.tga","archer c crossbowman bronze.tga",,"64","64","4","BC3",,"93",,
"textures\archer c crossbowman copper.tga","archer c crossbowman copper.tga",,"64","64","4","BC3",,"93",,
"textures\archer c crossbowman head bronze.tga","archer c crossbowman head bronze.tga",,"32","32","4","BC3",,"60",,
"textures\archer c crossbowman head copper.tga","archer c crossbowman head copper.tga",,"32","32","4","BC3",,"60",,
"textures\archer c crossbowman head iron.tga","archer c crossbowman head iron.tga",,"32","32","4","BC3",,"60",,
"textures\archer c crossbowman head standard.tga","archer c crossbowman head standard.tga",,"32","32","4","BC3",,"1",,
"textures\archer c crossbowman iron.tga","archer c crossbowman iron.tga",,"64","64","4","BC3",,"93",,
"textures\archer c crossbowman standard.tga","archer c crossbowman standard.tga",,"64","64","4","BC3",,"104",,
"textures\archer c mounted archer bronze.tga","archer c mounted archer bronze.tga",,"64","64","4","BC3",,"25",,
"textures\archer c mounted archer copper.tga","archer c mounted archer copper.tga",,"64","64","4","BC3",,"25",,
"textures\archer c mounted archer head bronze.tga","archer c mounted archer head bronze.tga",,"32","32","4","BC3",,"1",,
"textures\archer c mounted archer head copper.tga","archer c mounted archer head copper.tga",,"32","32","4","BC3",,"1",,
"textures\archer c mounted archer head iron.tga","archer c mounted archer head iron.tga",,"32","32","4","BC3",,"1",,
"textures\archer c mounted archer head standard.tga","archer c mounted archer head standard.tga",,"32","32","4","BC3",,"1",,
"textures\archer c mounted archer horse bronze.tga","archer c mounted archer horse bronze.tga",,"128","128","4","BC3",,"70",,
"textures\archer c mounted archer horse copper.tga","archer c mounted archer horse copper.tga",,"128","128","4","BC3",,"70",,
"textures\archer c mounted archer horse iron.tga","archer c mounted archer horse iron.tga",,"128","128","4","BC3",,"70",,
"textures\archer c mounted archer horse standard.tga","archer c mounted archer horse standard.tga",,"128","128","4","BC3",,"70",,
"textures\archer c mounted archer iron.tga","archer c mounted archer iron.tga",,"64","64","4","BC3",,"24",,
"textures\archer c mounted archer standard.tga","archer c mounted archer standard.tga",,"64","64","4","BC3",,"24",,
"textures\archer e slinger bronze.tga","archer e slinger bronze.tga",,"64","64","1","BC3",,"3",,
"textures\archer e slinger copper.tga","archer e slinger copper.tga",,"64","64","1","BC3",,"3",,
"textures\archer e slinger head bronze.tga","archer e slinger head bronze.tga",,"32","32","1","BC3",,"3",,
"textures\archer e slinger head copper.tga","archer e slinger head copper.tga",,"32","32","1","BC3",,"3",,
"textures\archer e slinger head iron.tga","archer e slinger head iron.tga",,"32","32","1","BC3",,"3",,
"textures\archer e slinger head standard.tga","archer e slinger head standard.tga",,"32","32","1","BC3",,"3",,
"textures\archer e slinger iron.tga","archer e slinger iron.tga",,"64","64","1","BC3",,"3",,
"textures\archer e slinger map.tga","archer e slinger map.tga",,"64","64","1","BC3",,"3",,
"textures\archer e slinger standard.tga","archer e slinger standard.tga",,"64","64","1","BC3",,"3",,
"textures\archer g crossbowman.tga","archer g crossbowman.tga",,"64","64","1","BC3",,"3",,
"textures\archer g peltast bronze.tga","archer g peltast bronze.tga",,"64","64","1","BC3",,"3",,
"textures\archer g peltast cape bronze.tga","archer g peltast cape bronze.tga",,"64","64","1","BC3",,"2",,
"textures\archer g peltast cape copper.tga","archer g peltast cape copper.tga",,"64","64","1","BC3",,"2",,
"textures\archer g peltast cape iron.tga","archer g peltast cape iron.tga",,"64","64","1","BC3",,"2",,
"textures\archer g peltast cape standard.tga","archer g peltast cape standard.tga",,"64","64","1","BC3",,"2",,
"textures\archer g peltast copper.tga","archer g peltast copper.tga",,"64","64","1","BC3",,"3",,
"textures\archer g peltast head bronze.tga","archer g peltast head bronze.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast head copper.tga","archer g peltast head copper.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast head iron.tga","archer g peltast head iron.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast head standard.tga","archer g peltast head standard.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast iron.tga","archer g peltast iron.tga",,"64","64","1","BC3",,"3",,
"textures\archer g peltast low bronze.tga","archer g peltast low bronze.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast low copper.tga","archer g peltast low copper.tga",,"32","32","1","BC3",,"2",,
"textures\archer g peltast low iron.tga","archer g peltast low iron.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast low standard.tga","archer g peltast low standard.tga",,"32","32","1","BC3",,"3",,
"textures\archer g peltast standard.tga","archer g peltast standard.tga",,"64","64","1","BC3",,"3",,
"textures\archer g toxotes bronze.tga","archer g toxotes bronze.tga",,"64","64","1","BC3",,"3",,
"textures\archer g toxotes copper.tga","archer g toxotes copper.tga",,"64","64","1","BC3",,"3",,
"textures\archer g toxotes head bronze.tga","archer g toxotes head bronze.tga",,"32","32","1","BC3",,"2",,
"textures\archer g toxotes head copper.tga","archer g toxotes head copper.tga",,"32","32","1","BC3",,"2",,
"textures\archer g toxotes head iron.tga","archer g toxotes head iron.tga",,"32","32","1","BC3",,"2",,
"textures\archer g toxotes head standard.tga","archer g toxotes head standard.tga",,"32","32","1","BC3",,"2",,
"textures\archer g toxotes iron.tga","archer g toxotes iron.tga",,"64","64","1","BC3",,"3",,
"textures\archer g toxotes standard.tga","archer g toxotes standard.tga",,"64","64","1","BC3",,"3",,
"textures\archer n normal bronze.tga","archer n normal bronze.tga",,"64","64","1","BC3",,"41",,
"textures\archer n normal copper.tga","archer n normal copper.tga",,"64","64","1","BC3",,"41",,
"textures\archer n normal head bronze.tga","archer n normal head bronze.tga",,"32","32","4","BC3",,"1",,
"textures\archer n normal head copper.tga","archer n normal head copper.tga",,"32","32","4","BC3",,"1",,
"textures\archer n normal head iron.tga","archer n normal head iron.tga",,"32","32","4","BC3",,"1",,
"textures\archer n normal head standard.tga","archer n normal head standard.tga",,"32","32","4","BC3",,"1",,
"textures\archer n normal iron.tga","archer n normal iron.tga",,"64","64","1","BC3",,"41",,
"textures\archer n normal standard.tga","archer n normal standard.tga",,"64","64","4","BC3",,"8",,
"textures\archer n throwing axeman bronze.tga","archer n throwing axeman bronze.tga",,"64","64","1","BC3",,"3",,
"textures\archer n throwing axeman copper.tga","archer n throwing axeman copper.tga",,"64","64","1","BC3",,"3",,
"textures\archer n throwing axeman iron.tga","archer n throwing axeman iron.tga",,"64","64","1","BC3",,"3",,
"textures\archer n throwing axeman low bronze.tga","archer n throwing axeman low bronze.tga",,"32","32","1","BC3",,"2",,
"textures\archer n throwing axeman low copper.tga","archer n throwing axeman low copper.tga",,"32","32","1","BC3",,"2",,
"textures\archer n throwing axeman low iron.tga","archer n throwing axeman low iron.tga",,"32","32","1","BC3",,"2",,
"textures\archer n throwing axeman low standard.tga","archer n throwing axeman low standard.tga",,"32","32","1","BC3",,"2",,
"textures\archer n throwing axeman standard.tga","archer n throwing axeman standard.tga",,"64","64","1","BC3",,"3",,
"textures\archer x bronze.tga","archer x bronze.tga",,"64","64","1","BC3",,"3",,
"textures\archer x copper.tga","archer x copper.tga",,"64","64","1","BC3",,"3",,
"textures\archer x hero.tga","archer x hero.tga",,"64","64","1","BC3",,"3",,
