"Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaquePixels","OpaqueCoveragePct","CoverageGroup","BTIFile"
"animal chicken.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal chicken.bti"
"animal fish anchovy.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal fish anchovy.bti"
"animal fish herring.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal fish herring.bti"
"animal fish mahi.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal fish mahi.bti"
"animal fish perch.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal fish perch.bti"
"animal fish salmon.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal fish salmon.bti"
"animal rooster.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal rooster.bti"
"attachments a club.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments a club.bti"
"attachments a skeleton.tga","","64","64","0","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments a skeleton.bti"
"attachments a sling.tga","","64","32","0","BC3","Binary","1","2048","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments a sling.bti"
"attachments g polyphemus club.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments g polyphemus club.bti"
"background chinese opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background chinese opaque.bti"
"background egypt opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background egypt opaque.bti"
"background fade blue.tga","","256","16","0","DeflatedRGBA8","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background fade blue.bti"
"background fade green.tga","","256","16","0","DeflatedRGBA8","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background fade green.bti"
"background fade red.tga","","256","16","0","DeflatedRGBA8","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background fade red.bti"
"background fade yellow.tga","","256","16","0","DeflatedRGBA8","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background fade yellow.bti"
"background greek opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background greek opaque.bti"
"background norse opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\background norse opaque.bti"
"building g temple statues map.tga","","256","256","0","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\building g temple statues map.bti"
"building g wonder destructed.tga","","256","256","0","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\building g wonder destructed.bti"
"building x sky temple roof.tga","","128","128","0","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\building x sky temple roof.bti"
"projectile a siege rock map.tga","","64","64","0","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\projectile a siege rock map.bti"
"scenario a dwarven forge belt.tga","","64","16","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\scenario a dwarven forge belt.bti"
"scenario a dwarven forge shared a.tga","","256","256","0","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\scenario a dwarven forge shared a.bti"
"scenario a dwarven forge shared b.tga","","256","256","0","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\scenario a dwarven forge shared b.bti"
"sfx a ip glow.tga","","128","64","0","BC3","Binary","1","8192","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx a ip glow.bti"
"sfx a lighthouse glow.tga","","32","16","0","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx a lighthouse glow.bti"
