"Texture","MaterialUses","CT0Uses","CT4Uses","OtherCTUses","BTI_AlphaBits","BTI_Format","BTI_File"
"Agamemnon Map","3","2","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\agamemnon map.bti"
"Animal Cow A map","45","31","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal cow a map.bti"
"Animal Flying Purple Hippo","22","11","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal flying purple hippo.bti"
"Animal Goat map","56","35","21","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal goat map.bti"
"Animal GoatNubian map","58","35","23","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal goatnubian map.bti"
"Animal Pig map","27","18","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal pig map.bti"
"animal white tiger map","9","0","9","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal white tiger map.bti"
"Animal William Walrus Map","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\Animal William Walrus Map.bti"
"Animal Yak","8","0","8","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\animal yak.bti"
"archer c crossbowman head copper","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head copper.bti"
"archer c crossbowman head standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman head standard.bti"
"archer c crossbowman standard","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer c crossbowman standard.bti"
"archer c mounted archer head standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer head standard.bti"
"archer c mounted archer horse standard","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse standard.bti"
"archer c mounted archer standard","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer standard.bti"
"Archer E Slinger Head Standard","20","10","8","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger head standard.bti"
"archer e slinger standard","18","9","7","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer e slinger standard.bti"
"Archer G Crossbowman","16","8","7","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g crossbowman.bti"
"Archer G Peltast Cape Standard","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape standard.bti"
"Archer G Peltast Head Standard","14","7","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast head standard.bti"
"Archer G Peltast Standard","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast standard.bti"
"Archer G Toxotes Head Bronze","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head bronze.bti"
"Archer G Toxotes Head Copper","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head copper.bti"
"Archer G Toxotes Head Iron","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head iron.bti"
