"Path","SizeKB","Extension"
"data\minimapbackground.tga","256",".tga"
"data\terrain1.tga","48",".tga"
"dlc-frontend\textures\ui\screen shot a_01.ddt","190.7",".ddt"
"dlc-frontend\textures\ui\screen shot a_02.ddt","182.3",".ddt"
"dlc-frontend\textures\ui\screen shot a_03.ddt","179.6",".ddt"
"dlc-frontend\textures\ui\screen shot a_04.ddt","199.2",".ddt"
"dlc-frontend\textures\ui\screen shot a_05.ddt","194.5",".ddt"
"dlc-frontend\textures\ui\screen shot a_06.ddt","186.1",".ddt"
"dlc-frontend\textures\ui\screen shot a_07.ddt","182",".ddt"
"dlc-frontend\textures\ui\screen shot a_08.ddt","201",".ddt"
"dlc-frontend\textures\ui\screen shot a_09.ddt","194.7",".ddt"
"dlc-frontend\textures\ui\screen shot a_10.ddt","188.7",".ddt"
"dlc-frontend\textures\ui\screen shot a_11.ddt","189.9",".ddt"
"dlc-frontend\textures\ui\screen shot a_12.ddt","193.2",".ddt"
"dlc-frontend\textures\ui\ui background opaque 1.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui background opaque 2.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui background opaque 3.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui border bottom left corner.ddt","9.4",".ddt"
"dlc-frontend\textures\ui\ui border bottom middle.ddt","2.6",".ddt"
"dlc-frontend\textures\ui\ui border bottom right corner.ddt","9.4",".ddt"
"dlc-frontend\textures\ui\ui border left middle.ddt","14.7",".ddt"
"dlc-frontend\textures\ui\ui border right middle.ddt","15.1",".ddt"
"dlc-frontend\textures\ui\ui border top left corner.ddt","9.5",".ddt"
"dlc-frontend\textures\ui\ui border top middle.ddt","2.6",".ddt"
"dlc-frontend\textures\ui\ui border top right corner.ddt","9.7",".ddt"
"dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.ddt","1.3",".ddt"
"dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.ddt","0.9",".ddt"
"dlc-frontend\textures\ui\ui button arrow down 32x64.ddt","1",".ddt"
"dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.ddt","1",".ddt"
"dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.ddt","0.9",".ddt"
"dlc-frontend\textures\ui\ui button arrow left 64x32.ddt","0.9",".ddt"
"dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.ddt","1",".ddt"
"dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.ddt","0.9",".ddt"
"dlc-frontend\textures\ui\ui button arrow right 64x32.ddt","0.8",".ddt"
"dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.ddt","1.2",".ddt"
"dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.ddt","0.9",".ddt"
"dlc-frontend\textures\ui\ui button arrow up 32x64.ddt","1",".ddt"
"dlc-frontend\textures\ui\ui button check box 32x32 clicked.ddt","0.4",".ddt"
"dlc-frontend\textures\ui\ui button check box 32x32 rollover.ddt","0.2",".ddt"
"dlc-frontend\textures\ui\ui button check box 32x32.ddt","0.4",".ddt"
"dlc-frontend\textures\ui\ui button long 128x32 clicked.ddt","2.7",".ddt"
"dlc-frontend\textures\ui\ui button long 128x32 rollover.ddt","1.9",".ddt"
"dlc-frontend\textures\ui\ui button long 128x32.ddt","2.6",".ddt"
"dlc-frontend\textures\ui\ui button long 160x32 clicked.ddt","2.9",".ddt"
"dlc-frontend\textures\ui\ui button long 160x32 rollover.ddt","2.2",".ddt"
"dlc-frontend\textures\ui\ui button long 160x32.ddt","3",".ddt"
"dlc-frontend\textures\ui\ui button long 192x32 clicked.ddt","2.9",".ddt"
"dlc-frontend\textures\ui\ui button long 192x32 rollover.ddt","2.3",".ddt"
"dlc-frontend\textures\ui\ui button long 192x32.ddt","3.3",".ddt"
"dlc-frontend\textures\ui\ui button long 224x32 clicked.ddt","2.9",".ddt"
"dlc-frontend\textures\ui\ui button long 224x32 rollover.ddt","2.3",".ddt"
"dlc-frontend\textures\ui\ui button long 224x32.ddt","3.4",".ddt"
"dlc-frontend\textures\ui\ui button long 96x32 clicked.ddt","2.1",".ddt"
"dlc-frontend\textures\ui\ui button long 96x32 rollover.ddt","1.7",".ddt"
"dlc-frontend\textures\ui\ui button long 96x32.ddt","2.2",".ddt"
"dlc-frontend\textures\ui\ui button radial 32x32 clicked.ddt","0.5",".ddt"
"dlc-frontend\textures\ui\ui button radial 32x32 rollover.ddt","0.6",".ddt"
"dlc-frontend\textures\ui\ui button radial 32x32.ddt","0.4",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.ddt","0.6",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow down 32x32.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow left 32x32.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow right 32x32 rollover.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow right 32x32.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow up 32x32 clicked.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow up 32x32 rollover.ddt","0.6",".ddt"
"dlc-frontend\textures\ui\ui button slider arrow up 32x32.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui god all random 256x256.ddt","133.3",".ddt"
"dlc-frontend\textures\ui\ui god all random 32x32.ddt","4",".ddt"
"dlc-frontend\textures\ui\ui god boarder highlight 128x128.ddt","22.4",".ddt"
"dlc-frontend\textures\ui\ui icon button clicked.ddt","1.3",".ddt"
"dlc-frontend\textures\ui\ui icon button foreground film.ddt","0.4",".ddt"
"dlc-frontend\textures\ui\ui icon button foreground history.ddt","1.4",".ddt"
"dlc-frontend\textures\ui\ui icon button foreground options.ddt","1.8",".ddt"
"dlc-frontend\textures\ui\ui icon button foreground steam.ddt","1",".ddt"
"dlc-frontend\textures\ui\ui icon button rollover.ddt","1",".ddt"
"dlc-frontend\textures\ui\ui icon button.ddt","0.8",".ddt"
"dlc-frontend\textures\ui\ui map boarder highlight 128x128.ddt","22.4",".ddt"
"dlc-frontend\textures\ui\ui map boarder template 128x128.ddt","19.7",".ddt"
"dlc-frontend\textures\ui\ui map size select giant clicked.ddt","10.4",".ddt"
"dlc-frontend\textures\ui\ui map size select giant.ddt","7.3",".ddt"
"dlc-frontend\textures\ui\ui map size select large clicked.ddt","17.7",".ddt"
"dlc-frontend\textures\ui\ui map size select large.ddt","15.9",".ddt"
"dlc-frontend\textures\ui\ui map size select normal clicked.ddt","5.1",".ddt"
"dlc-frontend\textures\ui\ui pregame button clicked.ddt","4.7",".ddt"
"dlc-frontend\textures\ui\ui pregame button glow.ddt","0.6",".ddt"
"dlc-frontend\textures\ui\ui pregame button rollover.ddt","2.4",".ddt"
"dlc-frontend\textures\ui\ui pregame button.ddt","3.5",".ddt"
"dlc-frontend\textures\ui\ui pregame left bottom.ddt","181.8",".ddt"
"dlc-frontend\textures\ui\ui pregame left middle.ddt","213",".ddt"
"dlc-frontend\textures\ui\ui pregame left top.ddt","223.7",".ddt"
"dlc-frontend\textures\ui\ui pregame right bottom.ddt","172.3",".ddt"
"dlc-frontend\textures\ui\ui pregame right middle.ddt","203.2",".ddt"
"dlc-frontend\textures\ui\ui pregame right top.ddt","248.8",".ddt"
